"Name","Author","Created","Vendor","ExpectedLocations","VulnerableExecutables","VulnerableExecutables_Path","VulnerableExecutables_Type","VulnerableExecutables_ExpectedVersionInformation","VulnerableExecutables_ExpectedVersionInformation_OriginalFilename","VulnerableExecutables_ExpectedVersionInformation_FileDescription","VulnerableExecutables_SHA256","Resources","Acknowledgements","Acknowledgements_Name","Acknowledgements_Company","Acknowledgements_Twitter","ExpectedSignatureInformation","ExpectedSignatureInformation_Subject","ExpectedSignatureInformation_Issuer","ExpectedSignatureInformation_Type","VulnerableExecutables_AutoElevate","VulnerableExecutables_ExpectedVersionInformation_InternalName","ExpectedVersionInformation","ExpectedVersionInformation_OriginalFilename","ExpectedVersionInformation_InternalName","ExpectedVersionInformation_FileDescription","VulnerableExecutables_ExpectedSignatureInformation","VulnerableExecutables_ExpectedSignatureInformation_Subject","VulnerableExecutables_ExpectedSignatureInformation_Issuer","VulnerableExecutables_ExpectedSignatureInformation_Type","VulnerableExecutables_ExpectedVersionInformation_CompanyName","VulnerableExecutables_ExpectedVersionInformation_FileVersion","VulnerableExecutables_ExpectedVersionInformation_LegalCopyright","VulnerableExecutables_ExpectedVersionInformation_ProductName","VulnerableExecutables_ExpectedVersionInformation_ProductVersion","VulnerableExecutables_Variable","VulnerableExecutables_PrivilegeEscalation","VulnerableExecutables_Condition","ExpectedVersionInformation_CompanyName","ExpectedVersionInformation_LegalCopyright","ExpectedVersionInformation_ProductName","ExpectedVersionInformation_FileVersion","ExpectedVersionInformation_ProductVersion","CVE","is_legit"
"msidcrl40.dll","Jai Minton - HuntressLabs","2024-05-29","Microsoft","%PROGRAMFILES%\msn messenger","","%PROGRAMFILES%\msn messenger\livecall.exe","Sideloading","","","","63ec17feda1f0ea80e0dd7b7938fbf7354aedf8d9f4041543afca9a35337f7bf","[''https://www.virustotal.com/gui/file/e2787ddbbf2a7304827a17d698f7cede17edbf0633d36f39f4c020ee8f37ccd1''-|-''https://www.virustotal.com/gui/file/448bfca5913e45ec36863ec2e72d959bd1f8ac30e0c794b708b3a6f45a050ef4'']","","Jai Minton","Huntress","@cyberrraiju","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"mpgear.dll","Jai Minton - HuntressLabs","2024-04-15","Microsoft","[''%PROGRAMFILES%\Windows Defender Advanced Threat Protection\Classification''-|-''%SYSTEM32%\MRT\%VERSION%'']","","%PROGRAMFILES%\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe","Sideloading","","","","8dc4d5deef19fb4da195c270819a6ee283b67408fc9ee187216a0ce80ee61bab","[''https://asec.ahnlab.com/en/58319/''-|-''https://www.virustotal.com/gui/file/1643a9c54e5d730fb0ebf4ab49e6c1d3a09dcd2c3a0282674330346d90990ab0''-|-''https://www.virustotal.com/gui/file/e1316301e7904a415fdd2a1707d1a48220cce055aab17b36a48e67bf0369edba'']","","Jai Minton","Huntress","@cyberrraiju","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"iviewers.dll","Wietze Beukema","2022-06-14","Microsoft","[''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\x86''-|-''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\x64''-|-''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\arm''-|-''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\arm64'']","","[''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\x86\oleview.exe''-|-''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\x64\oleview.exe''-|-''%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\arm64\oleview.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","[''https://www.secureworks.com/research/shadowpad-malware-analysis''-|-''https://www.pwc.co.uk/issues/cyber-security-services/research/chasing-shadows.html'']","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"imjp14k.dll","Wietze Beukema","2024-09-08","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%''-|-''%PROGRAMFILES%\Common Files\Microsoft Shared\IME14\SHARED'']","","%PROGRAMFILES%\Common Files\Microsoft Shared\IME14\SHARED\imecmnt.exe","Sideloading","","imecmnt.exe","Microsoft Office IME 2010","80a7ff01de553cb099452cb9fac5762caf96c0c3cd9c5ad229739da7f2a2ca72","[''https://blog.talosintelligence.com/chinese-hacking-group-apt41-compromised-taiwanese-government-affiliated-research-institute-with-shadowpad-and-cobaltstrike-2/''-|-''https://unit42.paloaltonetworks.com/stately-taurus-abuses-vscode-southeast-asian-espionage/'']","","","","","","","","","","imecmnt.exe","","","","","","CN=Microsoft Corporation, OU=MOPR, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Code Signing PCA, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Authenticode","Microsoft Corporation","14.0.4734.1000","© 2010 Microsoft Corporation. All rights reserved.","Microsoft Office IME 2010","14.0.4734.1000","","","","","","","","","","false"
"hha.dll","Wietze Beukema","2021-12-08","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%''-|-''%PROGRAMFILES%\HTML Help Workshop'']","","%PROGRAMFILES%\HTML Help Workshop\hhc.exe","Sideloading","","","","3e96894609819ae3d595ff6e0fbe9ce6c9ac17bdeda256b994831992f668cb99","[''https://blog.trendmicro.com/trendlabs-security-intelligence/new-wave-of-plugx-targets-legitimate-apps/''-|-''https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/'']","","Adam","","@hexacorn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"gflagsui.dll","Gary Lobermier","2023-05-22","Microsoft","%PROGRAMFILES%\Windows Kits\10\Debuggers\%VERSION%","","%PROGRAMFILES%\Windows Kits\10\Debuggers\%VERSION%\gflags.exe","Sideloading","","","","","https://globetech.biz/index.php/2023/05/19/evading-edr-by-dll-sideloading-in-csharp/","","","","","","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","True","","","","","","","","","","","","","","","","","","","","","","","","false"
"formdll.dll","Wietze Beukema","2023-09-04","Microsoft","%PROGRAMFILES%\Common Files\Microsoft Shared\NoteSync Forms","","%PROGRAMFILES%\Common Files\Microsoft Shared\NoteSync Forms\inkform.exe","Sideloading","","","","0e545a54f3cfef84bb59be1a95453ae4b34b5464b0f5ca618a0da2e4c97c7526","https://any.run/report/d9c7f6d4ec08d961c20dac1b6422b3fbec5c6a8d9dc67d1f604835b36c5f224e/ae068531-92db-497d-b0cb-c0b1af5476f1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"dbgeng.dll","Wietze Beukema","2023-03-01","Microsoft","[''%PROGRAMFILES%\Windows Kits\%VERSION%\Debuggers\x86''-|-''%PROGRAMFILES%\Windows Kits\%VERSION%\Debuggers\x64''-|-''%PROGRAMFILES%\Windows Kits\%VERSION%\Debuggers\arm''-|-''%PROGRAMFILES%\Windows Kits\%VERSION%\Debuggers\arm64''-|-''%SYSTEM32%''-|-''%SYSWOW64%'']","","windbg.exe","Sideloading","","","","","https://twitter.com/mrexodia/status/1630320327967252483","","Duncan Ogilvie","","@mrexodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"concrt140.dll","Austin Worline","2025-04-06","Microsoft","[''%PROGRAMFILES%\Microsoft Visual Studio\%VERSION%\Community\Common7\IDE\VC\vcpackages''-|-''%PROGRAMFILES%\Microsoft Visual Studio\%VERSION%\BuildTools\Common7\IDE\VC\vcpackages''-|-''%PROGRAMFILES%\Microsoft Visual Studio\%VERSION%\BuildTools\Common7\IDE''-|-''%PROGRAMFILES%\Microsoft Intune Management Extension''-|-''%PROGRAMFILES%\Microsoft\Edge\Application\%VERSION%''-|-''%PROGRAMFILES%\Microsoft\EdgeWebView\Application\%VERSION%''-|-''%PROGRAMFILES%\microsoft\edgewebview\application\%VERSION%''-|-''%PROGRAMFILES%\Microsoft RDInfra\RDMonitoringAgent_%VERSION%\Agent''-|-''%PROGRAMFILES%\WindowsApps\Microsoft.VCLibs.%VERSION%''-|-''%PROGRAMFILES%\WindowsApps\Microsoft.OutlookForWindows_%VERSION%''-|-''%SYSTEM32%''-|-''%SYSWOW64%'']","","vcpkgsrv.exe","Sideloading","","VCPkgSrv.exe","Microsoft (R) Visual C++ Package Server","a5c5487194f761dac90e178c9c1753c0f47b041f3168b5c23a587f33f69e5089","[''https://www.youtube.com/watch?v=uTQIIWsUSHA''-|-''https://www.virustotal.com/gui/file/119910bd40da350fe61397b7eb8b6bc4c1280ff130129b4f5046d7f460c62fac'']","","Austin Worline","Huntress","@0xffaraday","","","","","","VCPkgSrv.exe","","concrt140.dll","concrt140.dll","Microsoft® Concurrency Runtime Library","","","","","","","","","","","","","","","","","","","false"
"atltracetoolui.dll","Wietze Beukema","2023-04-04","Microsoft","%PROGRAMFILES%\Microsoft Visual Studio 11.0\Common7\Tools","","%PROGRAMFILES%\Microsoft Visual Studio 11.0\Common7\Tools\ATLTraceTool8.exe","Sideloading","","","","197d0ad8e3f6591e4493daaee9e52e53ecf192e32f9d167c67f2ffb408c76f2c","https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/","","","","","","","","","","","","","","","","C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, OU=MOPR, CN=Microsoft Corporation","C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Code Signing PCA","Authenticode","","","","","","","","","","","","","","","false"
"xwtpw32.dll","Wietze Beukema","2022-05-21","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\devicepairingwizard.exe''-|-''%SYSTEM32%\rasphone.exe'']","[''Environment Variable''-|-''Environment Variable'']","","","","","https://wietze.github.io/blog/save-the-environment-variables","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog'']","","","","","","[''SYSTEMROOT''-|-''SYSTEMROOT'']","","","","","","","","","false"
"xwizards.dll","Wietze Beukema","2022-05-21","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\devicepairingwizard.exe''-|-''%SYSTEM32%\rasphone.exe'']","[''Environment Variable''-|-''Environment Variable'']","","","","","https://wietze.github.io/blog/save-the-environment-variables","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog'']","","","","","","[''SYSTEMROOT''-|-''SYSTEMROOT'']","","","","","","","","","false"
"xpsservices.dll","Chris Spehn","2021-08-17","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","%SYSTEM32%\printfilterpipelinesvc.exe","Sideloading","","","","","[''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","Chris Spehn","","@ConsciousHacker","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","false"
"xolehlp.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","%SYSTEM32%\msdtc.exe","Sideloading","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","false"
