"Name","Description","Author","Created","Commands","Commands_Command","Commands_Description","Commands_Usecase","Commands_Category","Commands_Privileges","Commands_OperatingSystem","Full_Path","Full_Path_Path","Detection","Detection_Domain","Detection_URL","Detection_Sigma","Detection_Command","Resources","Resources_Link","Acknowledgement","Acknowledgement_Person","Acknowledgement_Handle","Custom_Domain","Full_Path_Filename","Custom_Domain_Supported_","Detection_Commands","Custom_Domain_Supported","is_legit"
"Pinggy","Pinggy is a fast, versatile, and privacy-focused tunneling solution that enables users to expose local services, files, and ports over the internet. It can be leveraged for legitimate purposes like development, testing, and IoT access, but it may also be misused by threat actors to expose sensitive systems, services, or files for malicious purposes. This can be used with SSh or directly via the provided binary.","Kamran Saifullah","2024-10-14","","[''wget https://s3.ap-south-1.amazonaws.com/public.pinggy.binaries/v0.1.3/mac/univ/pinggy''-|-''ssh -p <PORT> -R0:localhost:8000 -L4300:localhost:4300 a.pinggy.io''-|-''ssh -p <SSH/RDP/ PORT> -R0:localhost:8000 -L4300:localhost:4300 a.pinggy.io''-|-''ssh -p <PORT> -R0:localhost:8000 -L4300:localhost:4300 a.pinggy.io''-|-''ssh -p <PORT> -R0:localhost:8000 -L4300:localhost:4300 a.pinggy.io''-|-''ssh -p <PORT>> -R0:localhost:8000 -L4300:localhost:4300 a.pinggy.io'']","[''PageKite provides binarues for multiple operating systems that are not required to be installed on the system as these are standalone binaries.''-|-''Having a local web server running on the local machine, it is possible to expose the entire file system via pinggy tunnels.''-|-''Exposing local shell services running on the local machine over the internet for shell access.''-|-''Exposing local serivces/applications running locally and binding them to pinggy domains to be accessed over the internet.''-|-''Having local files in the directory and exposing them via hosting local web server and binding it to pinggy tunnels will enable threat actors to download malicious binaies onto the compromised host.''-|-''Hosting phishing website locally and exposing it over pinggy tunnels to compromise users.'']","[''Downloading and execution of pagekite python program.''-|-''Exposing local file system over the internet for data exfiltrations.''-|-''Hosting local services and binding them to pinggy tunnels for shell-access''-|-''Hosting local services/applications running locally and exposing them over the internet.''-|-''Hosting malicious binaries locally and downloading these over to the compromised host.''-|-''Threat actors can host phishing sites running on the local server and can expose these over the pinggy tunnels for targeting users.'']","[''Install''-|-''exfiltrate''-|-''shell-access''-|-''access''-|-''download''-|-''phishing'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of pinggy, or directly via SSH.","","[''*.pinggy.io''-|-''*.pinggy.link''-|-''*.*.amazonaws.com/public.pinggy.binaries/*'']","","","","","https://pinggy.io/docs/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"PageKite","PageKite is a fast, reliable localhost tunneling solution which is paid but allows a free version for 1 month. This can be abused by the threat actors as well as insiders to expose local apps, services over the internet as well as to download malicious binaries, host malware and to host phishing sites to target users.","Kamran Saifullah","2024-10-14","","[''curl -O https://pagekite.net/pk/pagekite.py''-|-''pagekite.py <LOCAL PATH> <SUBDOMAIN>.pagekite.me''-|-''pagekite.py <PORT> <SUBDOMAIN>.pagekite.me''-|-''pagekite.py <PORT> <SUBDOMAIN>.pagekite.me''-|-''pagekite.py <PORT> <SUBDOMAIN>.pagekite.me''-|-''pagekite.py <LOCAL PATH> <SUBDOMAIN>.pagekite.me'']","[''PageKite allows to download a python program which can be called directly from the URL and can be executed on the local machine.''-|-''Exposing local file system over the internet for data exfiltration.''-|-''Exposing local services over the internet for external access.''-|-''Exposing local ssh/rdp over PageKite domains for shell-access.''-|-''Hosting phishing pages locally and exposing them via PageKite subdomains to target users.''-|-''Hosting malicious files/confidential files via a local path and exposing them over PageKite domains for download.'']","[''Downloading and execution of pagekite python program.''-|-''Hosting local file system and binding them to the PageKite domains for data exfiltration.''-|-''Hosting local services and binding them to the PageKite domains for external access.''-|-''Hosting local services i.e. SSH/RDP etc. for shell access.''-|-''Hosting phishing pages locally by threat actors and using the PageKite domains to target the users.''-|-''Hosting local files, malicious files, sensitive files and exposing them over PageKite domains for downloads.'']","[''install''-|-''exfiltrate''-|-''access''-|-''shell-access''-|-''phishing''-|-''download'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of PakeKite python program, which gets executed anywhere on the system.","","[''*.pagekite.net''-|-''*.pagekite.me'']","","","","","https://pagekite.net/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"OpenPort","Openport builds a secure tunnel from your device to the outside world, so you can connect to your device from anywhere.","Kirill Magaskin","2025-02-15","","openport register-key <AUTHTOKEN> && openport <PORT>","Authenticate with token and start tunnel on PORT.","Quick execution of openport.","Access","User","Windows, Linux","","Quick Start/Installed version of jprq, which gets executed anywhere on the system.","","openport.io","","","Execution of the binary and/or with arguments.","","https://openport.readthedocs.io/en/latest/usage.html#installation","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"ngrok","Insiders as well as threat actors can ingress into an environment via ngrok, which functions as a reverse proxy. ngrok is no longer open source but the previous source code is still available (linked below).","Dan O'Day","2025-01-31","","[''ngrok authtoken 'AUTHTOKEN_GOES_HERE'''-|-''ngrok tcp|http <PORT>'']","[''Initial ngrok configuration.''-|-''Sends connection to configured upstream service on port.'']","[''Configures ngrok to use specified authentication token.''-|-''Establishes reverse proxy via ngrok edge.'']","[''Install''-|-''Access'']","[''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","ngrok","","[''*.ngrok.com''-|-''*.ngrok.io''-|-''*.ngrok.dev''-|-''*.ngrok.app''-|-''*.ngrok.pro''-|-''*.ngrok.pizza''-|-''*.ngrok-agent.com''-|-''*.ngrok-free.app''-|-''*.ngrok-cname.com''-|-''*.equinox.io'']","","[''https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ngrok_network_sigma.yml''-|-''https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ngrok_processes_sigma.yml'']","","","[''https://ngrok.com''-|-''https://github.com/ngrok/ngrok''-|-''https://github.com/inconshreveable/ngrok''-|-''https://www.logpoint.com/en/blog/a-deep-look-at-the-darkside-ransomware-operators-and-their-affiliates/'']","","[''Dan O'Day''-|-''Kirill Magaskin'']","[''@4n68r''-|-''@k1rpI7ch'']","","ngrok.exe","","","","false"
"Loophole","Loophole is an open source tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-13","","[''loophole standlone binaries''-|-''loophole account login''-|-''./loophole http 3000''-|-''./loophole http 3000''-|-''./loophole path ./my-directory'']","[''Exeuction of loophole standlone binaries on the local machine.''-|-''Authenticating loophole account with the API key to register the device with the account.''-|-''Hosting malicious files over the loophole tunnels and downloading them over to the compromised host.''-|-''Hosting phishing sites locally and exposing them over the loophole tunnels to compromise users.''-|-''Exposing local file system over the loophole tunnels to exfiltrate data outside the organization.'']","[''Executing the loophole standalone binaries to connect it to the tunnels.''-|-''Registering local machine with the loophole account.''-|-''Downloading locally hosted malicious binaries exposed over loophole tunnels to download.''-|-''Phishing site hosted locally and exposed over the loophole tunnels to compromise users.''-|-''Exfiltrating data outside organization via loophole tunnels.'']","[''install''-|-''access''-|-''download''-|-''phishing''-|-''exfiltrate'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Installed/Downloaded version of loophole binary, which gets executed anywhere on the system.","","[''loophole.eu.auth0.com''-|-''*.loophole.site'']","loophole.eu.auth0.com/activate","","Execution of the binary and/or with arguments.","","[''https://loophole.cloud/docs''-|-''https://github.com/loophole/cli/'']","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"LocalXpose","LocalXpose is free/subscription based tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-14","","[''npm install -g loclx | Downloadable binaries''-|-''loclx account login''-|-''loclx tunnel tcp/udp --port <PORT>''-|-''loclx tunnel http --port <PORT>''-|-''loclx tunnel http --port <PORT>''-|-''loclx tunnel http --port <PORT>'']","[''In order to install the localxpose, it can be done directly via choco, npm, snap etc. as well as downloadable binaries are provided that can be executed on the fly.''-|-''Exeuting the loclx command provided with the API key to authenticate and generate a tunnel.''-|-''Exeuting the binary to generate a local tunnel by binding it to the local service running on TCP ports.''-|-''Executing the binary to generate a local tunnel by binding it to a local web server running on port 80.''-|-''Executing the binary to generate a local tunnel by binding it to the local file system exposed over port 80.''-|-''Executing the binary to generate a local tunnel by binding it to the local web server hosting phishing sites.'']","[''Installing/Downloading the localxpose binaries to be executed on the local machine.''-|-''Authenticating the loclx binary with authentication token to generate tunnels.''-|-''Exposing SSH/RDP etc over tunnels for shell-access''-|-''Exposing the local system over the tunnels for the files to be exfiltrated out of the organization.''-|-''Exposing the local web server/file system over the tunnels for the files to be exfiltrated out of the organization.''-|-''Exposing the local web server hosting phishing sites to target users.'']","[''install''-|-''access''-|-''shell-access''-|-''download''-|-''exfiltrate''-|-''phishing'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of LocalExpose, which gets executed anywhere on the system.","","*.localxpose.io","","","Execution of installed/downloaded binary.","","https://localxpose.io/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Rust LocalTunnels","LocalTunnels a.k.a Rust Tunnels is an extension of LocalTunnels implemented in Rust Language. Similar to LocalTunnels, this can also be used by insiders as well as threat actors to exfiltrate data, download malciious binaries, malwares etc. Also, the rlt can be hosted on a custom server, thus the binary itself is required to be monitored as well as having network monitoring.","Kamran Saifullah","2024-10-13","","[''cargo install localtunnel''-|-''localtunnel client --host <host name> --subdomain <subdomain> --port <local port>''-|-''localtunnel server --domain init.so --port <local port> --proxy-port <proxy port> --secure'']","[''This is a quick way to install localtunnel rust binary on the local machine.''-|-''This is a quick way to connect to the hosted server running localtunnel rlt service binded to the port.''-|-''Running rlt on the server for malicious purposes.'']","[''Installation of rlt.''-|-''Connecting to malicious server hosting localtunnel rlt service.''-|-''Hosting and exposing the server which will then be connected by the client.'']","[''install''-|-''access''-|-''access'']","[''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Quick Start/Installed version of LocalTunnels rlt, which gets executed anywhere on the system.","","[''*.loca.lt''-|-''*.localtunnel.me'']","","","","","https://github.com/kaichaosun/rlt","","Kamran Saifullah","@deFr0ggy","","","True","Execution of the binary and/or with arguments.","","false"
"LocalTunnels","LocalTunnels enables insiders as well as threat actors to expose local ports over the LocalTunnels generated links. The access is protected with a password. However, it can be accessed directly on the main page the first time tunnel is accessed. The important thing to note is that a service is required to be running onto the port which is required to be exposed. On the other hand, threat actors can set up their own listening server using LocalTunnels server provided on their GitHub page. This can be used by the insiders to exfiltrate the local data outside as well as threat actors to host phishing pages, malicious binaries etc.","Kamran Saifullah","2024-10-13","","[''npx localtunnel --port <PORT>''-|-''lt --host http|https://<URL>:<PORT> --PORT <LOCAL PORT>''-|-''npm install -g localtunnel''-|-''lt --port <PORT>''-|-''wget http|https://<URL>/<File/Directory>''-|-''lt --port <PORT>'']","[''This is a quick way to start the localtunnels by directly executing the localtunnels and generating links.''-|-''This will bind the local port running on the server to the domain name and the port that is required to bind to the local port.''-|-''This will install localtunnels globally on the system.''-|-''This will install localtunnels globally on the system.''-|-''This will enable insiders as well as threat actors to download the hosted files onto the machine.''-|-''The URLs generated can be binded to a locally hosting phising page by the threat actors.'']","[''Quick execution of localtunnels.''-|-''Configuring the server to bind a local port and have it exposed via the server LocalTunnels are installed on.''-|-''Installing localtunnels globally.''-|-''This binds the local service running to the LocalTunnels URL which can be accessed over the internet for data exfiltration. This can be binded to internal apps, ssh, rdp and other services/applications running locally.''-|-''Insiders exposing local system and downloading the files. Threat Actors hosting malicious files and downloading those onto the targeted system.''-|-''Threat Actors binding the LocalTunnels port to the locally hosted Phishing Side and sending out the link to victims.'']","[''access''-|-''Access''-|-''install''-|-''exfiltrate''-|-''download''-|-''phishing'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Quick Start/Installed version of LocalTunnels, which gets executed anywhere on the system.","","[''*.loca.lt''-|-''*.localtunnel.me'']","","","Execution of the binary and/or with arguments.","","[''https://github.com/localtunnel/server''-|-''https://github.com/localtunnel/localtunnel?tab=readme-ov-file'']","","Kamran Saifullah","@deFr0ggy","","","","","True","false"
"LocaltoNet","LocaltoNet is a reverse proxy that enables you to expose your localhost services to the internet.","Kirill Magaskin","2025-02-15","","[''localtonet.exe''-|-''localtonet authtoken <AUTHTOKEN>''-|-''localtonet'']","[''This is a way to start the LocaltoNet in Windows. You will be prompted for your AuthToken. Then you should configure your service port in LocaltoNet Web Dashboard and generate link.''-|-''This is a quick way to start the LocaltoNet by directly executing the LocaltoNet. Then you should configure your service port in LocaltoNet Web Dashboard and generate link.''-|-''This is a way to start the LocaltoNet in MacOS. You will be prompted for your AuthToken. Then you should configure your service port in LocaltoNet Web Dashboard and generate link.'']","[''Quick execution of LocaltoNet.''-|-''Quick execution of LocaltoNet.''-|-''Quick execution of LocaltoNet.'']","[''Access''-|-''Access''-|-''Access'']","[''User''-|-''User''-|-''User'']","[''Windows''-|-''Linux''-|-''MacOS'']","","Quick Start/Installed version of LocaltoNet, which gets executed anywhere on the system.","","[''*.localto.net''-|-''*.localtonet.com'']","","","Execution of the binary and/or with arguments.","","https://localtonet.com/documents","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"localhost.run","localhost.run is a client-less tool to instantly make a locally running application available on an internet accessible URL.","Kirill Magaskin","2025-02-15","","ssh -R 80:127.0.0.1:<PORT> localhost.run","This is quick way to start the localhost.run and connect local PORT to internet domain. If you are using a free tunnel you can skip the SSH key check by adding ""nokey"" as your SSH user (use [USERNAME]@localhost.run instead of localhost.run) otherwise you need to upload your public SSH key to https://admin.localhost.run/.","Quick execution of localhost.run.","Access","User","Windows, Linux, MacOS","","","","*.localhost.run","","","Execution of ssh with ""localhost.run"" argument.","","https://localhost.run/docs","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"JPRQ","JPRQ is a free and open tool for exposing local servers to public network (the internet). It can expose TCP protocols, such as HTTP, SSH, etc.","Kirill Magaskin","2025-02-15","","[''jprq auth <AUTHTOKEN> && jprq http <PORT>''-|-''jprq auth <AUTHTOKEN> && jprq tcp <PORT>'']","[''Authenticate with token and start HTTP tunnel on PORT.''-|-''Authenticate with token and start http TCP on PORT.'']","[''Quick execution of jprq.''-|-''Quick execution of jprq.'']","[''Access''-|-''Access'']","[''User''-|-''User'']","[''Windows, Linux''-|-''Windows, Linux'']","","Quick Start/Installed version of jprq, which gets executed anywhere on the system.","","*.jprq.io","","","Execution of the binary and/or with arguments.","","https://github.com/azimjohn/jprq","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"jkuri Bore","Reverse HTTP/TCP proxy tunnel via secure SSH connections.","Kirill Magaskin","2025-02-15","","bore -s bore.digital -p 2200 -ls localhost -lp <PORT>","This is quick way to start the bore and connect local PORT to the public internet at bore.digital:<PORT>, where the port number is assigned randomly. Also the links for HTTP/HTTPS access will be generated.","Quick execution of bore.","Access","User","Windows, Linux","","Quick Start/Installed version of bore, which gets executed anywhere on the system.","","[''bore.digital:*''-|-''*.bore.digital'']","","","Execution of the binary and/or with arguments.","","https://github.com/jkuri/bore","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"Expose.sh","EXPOSE is your new favourite open source tool for exposing your local services on the public Internet.","Kirill Magaskin","2025-02-15","","ssh -R 1:127.0.0.1:<PORT> expose.sh","This is quick way to start the localhost.run and connect local PORT to internet domain. By default, authentication is done by using the public SSH keys you have on your GitHub account. If you use a different username on your computer than the one you use on GitHub, add the GitHub username to your SSH command (use [USERNAME]@expose.sh instead of expose.sh)","Quick execution of expose.sh.","Access","User","Windows, Linux, MacOS","","","","[''expose.sh''-|-''*.expos.es'']","","","Execution of ssh with ""expose.sh"" argument.","","https://github.com/exposesh","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"Dev Tunnels","Dev Tunnels enables insiders as well as threat actors to expose local ports over the internet via Microsoft dev tunnels.","Pure-Nomad","2024-10-05","","[''devtunnel host -p 3389''-|-''devtunnel echo http -p 8080'']","[''This will generate a dev tunnel binding it to the local service running on the provided port. Can be used to expose local services, web applications and local files etc.''-|-''By simply hosting a phishing website locally, it is possible to expose it via a Microsoft Domain.'']","[''Exposing local services, ports, web applications etc. over the internet.''-|-''Hosting malicious binaries/payloads locally and exposing them via Dev Tunnel URLs.'']","[''Access''-|-''Phishing'']","[''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of Dev Tunnels, which gets executed anywhere on the system.","","[''*.devtunnels.ms''-|-''*.data.rel.tunnels.api.visualstudio.com''-|-''*.rel.tunnels.api.visualstudio.com''-|-''*.global.rel.tunnels.api.visualstudio.com'']","","","Execution of the binary and/or with arguments.","","[''https://learn.microsoft.com/en-us/azure/developer/dev-tunnels/get-started?tabs=windows''-|-''https://www.youtube.com/watch?v=jNgFmAY20wY'']","","[''Ergo Proxy''-|-''Brian Almond'']","[''@_erg0sum''-|-''@BriPwn'']","","","","","","false"
"Dataplicity","Dataplicity is free/subscription based tool which enables connecting local systems to dataplicity cloud for remotely accessing them over the internet.","Kamran Saifullah","2024-10-14","","[''curl -s https://www.dataplicity.com/<TOKEN>.py | sudo python''-|-''curl -s https://www.dataplicity.com/<TOKEN>.py | sudo python'']","[''Having an account created on the website, it is possible to connect any system to the Dataplicity cloud and access it remotely, keeping shell-access.''-|-''Having an account created on the website, it is possible to connect any system to the Dataplicity cloud and access it remotely, for data exfiltration.'']","[''Connecting the user machine to dataplicity cloud for shell-access/remote-access.''-|-''Connecting the user machine to dataplicity cloud for data exfiltration.'']","[''shell-access''-|-''exfiltrate'']","[''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Execution of dapalicity python module from anywhere on the system.","","*.dataplicity.com","","","Execution of the command.","","[''https://www.dataplicity.com/''-|-''https://github.com/wildfoundry/dataplicity-agent'']","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Cloudflared","Cloudflared is provided by CloudFlare which is a cyber security company. This tool works in a similar fashion to others and allows insiders as well as threat actors for data exfiltration. Formerly was named Argo Tunnel.","Kamran Saifullah","2024-10-05","","[''cloudflared.exe tunnel --url <IP>:<PORT>''-|-''cloudflared.exe tunnel --url <IP>:<PORT>''-|-''cloudflared.exe tunnel --url <IP>:<PORT>'']","[''This will generate tunnels link. However, a local server on the same port is required to exfiltrate the data.''-|-''By hosting a local server running a Phishing Website it is possible to expose it via CloudFlare URLs/Domains.''-|-''By simply hosting malicious binaries/payloads, it is possible to expose them via CloudFlare domains.'']","[''Exposing local file system over the internet.''-|-''Hosting phishing sites locally and exposing them via CloudFlare URLs.''-|-''Hosting malicious binaies/payloads locally and exposing them via CloudFlare URLs.'']","[''exfiltrate''-|-''Phishing''-|-''Download'']","[''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of cloudflared, which gets executed anywhere on the system.","","[''*.trycloudflare.com''-|-''*.cfargotunnel.com''-|-''*.cftunnel.com'']","","","Execution of the binary and/or with arguments.","","https://defr0ggy.github.io/research/Abusing-Cloudflared-A-Proxy-Service-To-Host-&-Share-Apps/","","[''Kamran Saifullah''-|-''Kirill Magaskin'']","[''@deFr0ggy''-|-''@k1rpi7ch'']","","","","","","false"
"Burrow","Burrow is subscription based tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website. The tunnels are required to be created from the dashboard first which generates a command to be executed locally onto the system to bind the service/port to the burrow tunnels.","Kamran Saifullah","2024-10-14","","curl -Ls https://burrow.io/<RANDOM> | bash -s","The URLs generated can be binded to a locally hosting services via bash.","Binding the local machine to the externally generated burrow tunnels.","Access","User","Mac, Linux","","Execution of bash with burrow tunnels.","","[''*.burrow.io''-|-''*.burrow.link''-|-''io.burrow.link:*'']","","","Execution of bash with burrow tunnels.","","https://burrow.io/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"BTunnels","Broken Tunnels enables insiders as well as threat actors to expose local ports, local file system, local application over the internet via btunnels dynamic tunnel URLs.","Kamran Saifullah","2024-10-05","","[''btunnel.exe file --key <API-KEY>''-|-''btunnel.exe http --key <API-KEY>''-|-''btunnel.exe http --key <API-KEY>''-|-''btunnel.exe http --key <API-KEY>'']","[''This will generate tunnels link while exposing the local filesystem as a Directory Listing.''-|-''This will generate tunnels link binding it to the local service running on the provided port. Can be used to expose local services, web applications and local files etc.''-|-''By simply hosting a phishing website locally, it is possible to expose it via BTunnels Domain.''-|-''By simply hosting a malicious binaries/payloads locally it is possible to expose them via BTunnels domains.'']","[''Exposing file system over the internet.''-|-''Exposing local services, ports, web applications etc. over the internet.''-|-''Hosting phishing sites locally and exposing them via BTunnels URLs.''-|-''Hosting malicious binaies/payloads locally and exposing them via BTunnels URLs.'']","[''exfiltrate''-|-''Access''-|-''Phishing''-|-''Download'']","[''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of Btunnels, which gets executed anywhere on the system.","","[''*.btunnel.co.in''-|-''*.btunnel.in'']","","https://github.com/search?q=repo%3ASigmaHQ%2Fsigma+9e02c8ec-02b9-43e8-81eb-34a475ba7965&type=code","Execution of the binary and/or with arguments.","","[''https://valhalla.nextron-systems.com/info/sigma-rule/9501f8e6-8e3d-48fc-a8a6-1089dd5d7ef4''-|-''https://defr0ggy.github.io/research/Utilizing-BTunnel-For-Data-Exfiltration/'']","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Bore","Bore is a modern, simple TCP tunnel in Rust that exposes local ports to a remote server, bypassing standard NAT connection firewalls.","Kirill Magaskin","2025-02-15","","bore local <PORT> --to bore.pub","This is quick way to start the bore and connect local PORT to the public internet at bore.pub:<PORT>, where the port number is assigned randomly.","Quick execution of bore.","Access","User","Windows, Linux, MacOS","","Quick Start/Installed version of bore, which gets executed anywhere on the system.","","bore.pub:*","","","Execution of the binary and/or with arguments.","","https://github.com/ekzhang/bore","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
"Beeceptor","The Beeceptor CLI is a developer tool to help you connect the localhost port with Beeceptor's public endpoint. It is easy to install, and works on all platforms (macOS, Windows, and Linux). The Beeceptor CLI can be installed using NPM or downloaded as an independent executable file.","Kirill Magaskin","2025-02-15","","beeceptor-cli -p <PORT> [--https] [--headless]","This is quick way to start the beeceptor and connect local PORT to internet domain. After running this command you'll be required to authorize in browser on target host. Use --headless to print AuthToken and authorize on source host. This tool by default uses HTTP, for HTTPS check --https option.","Quick execution of beeceptor.","Access","User","Windows, Linux, MacOS","","Quick Start/Installed version of beeceptor, which gets executed anywhere on the system.","","*.beeceptor.com","","","Execution of the binary and/or with arguments.","","https://beeceptor.com/docs/local-tunneling-by-exposing-service-port/?ref=landing-page","","Kirill Magaskin","@k1rpi7ch","","","","","","false"
