"Service Name","Port Number","Transport Protocol","Description","is_legit"
"","30","tcp","Unassigned","false"
"","30","udp","Unassigned","false"
"msg-auth","31","tcp","MSG Authentication","false"
"msg-auth","31","udp","MSG Authentication","false"
"","32","tcp","Unassigned","false"
"","32","udp","Unassigned","false"
"dsp","33","tcp","Display Support Protocol","false"
"dsp","33","udp","Display Support Protocol","false"
"","34","tcp","Unassigned","false"
"","34","udp","Unassigned","false"
"","35","tcp","any private printer server","false"
"","35","udp","any private printer server","false"
"","36","tcp","Unassigned","false"
"","36","udp","Unassigned","false"
"time","37","tcp","Time","false"
"time","37","udp","Time","false"
"rap","38","tcp","Route Access Protocol","false"
"rap","38","udp","Route Access Protocol","false"
"rlp","39","tcp","Resource Location Protocol","false"
"rlp","39","udp","Resource Location Protocol","false"
"","40","tcp","Unassigned","false"
"","40","udp","Unassigned","false"
"graphics","41","tcp","Graphics","false"
"graphics","41","udp","Graphics","false"
"name","42","tcp","Host Name Server","false"
"name","42","udp","Host Name Server","false"
"nameserver","42","tcp","Host Name Server","false"
"nameserver","42","udp","Host Name Server","false"
"nicname","43","tcp","Who Is","false"
"nicname","43","udp","Who Is","false"
"mpm-flags","44","tcp","MPM FLAGS Protocol","false"
"mpm-flags","44","udp","MPM FLAGS Protocol","false"
"mpm","45","tcp","Message Processing Module [recv]","false"
"mpm","45","udp","Message Processing Module [recv]","false"
"mpm-snd","46","tcp","MPM [default send]","false"
"mpm-snd","46","udp","MPM [default send]","false"
"","47","tcp","Reserved","false"
"","47","udp","Reserved","false"
"auditd","48","tcp","Digital Audit Daemon","false"
"auditd","48","udp","Digital Audit Daemon","false"
"tacacs","49","tcp","Login Host Protocol (TACACS)","false"
"tacacs","49","udp","Login Host Protocol (TACACS)","false"
"re-mail-ck","50","tcp","Remote Mail Checking Protocol","false"
"re-mail-ck","50","udp","Remote Mail Checking Protocol","false"
"","51","","Reserved","false"
"xns-time","52","tcp","XNS Time Protocol","false"
"xns-time","52","udp","XNS Time Protocol","false"
"domain","53","tcp","Domain Name Server","false"
"domain","53","udp","Domain Name Server","false"
"xns-ch","54","tcp","XNS Clearinghouse","false"
"xns-ch","54","udp","XNS Clearinghouse","false"
"isi-gl","55","tcp","ISI Graphics Language","false"
"isi-gl","55","udp","ISI Graphics Language","false"
"xns-auth","56","tcp","XNS Authentication","false"
"xns-auth","56","udp","XNS Authentication","false"
"","57","tcp","any private terminal access","false"
"","57","udp","any private terminal access","false"
"xns-mail","58","tcp","XNS Mail","false"
"xns-mail","58","udp","XNS Mail","false"
"","59","tcp","any private file service","false"
"","59","udp","any private file service","false"
"","60","tcp","Unassigned","false"
"","60","udp","Unassigned","false"
"","61","tcp","Reserved","false"
"","61","udp","Reserved","false"
"acas","62","tcp","ACA Services","false"
"acas","62","udp","ACA Services","false"
"whoispp","63","tcp","""whois++","false"
"whois++","63","tcp","whois++","false"
"whoispp","63","udp","""whois++","false"
"whois++","63","udp","whois++","false"
"covia","64","tcp","Communications Integrator (CI)","false"
"covia","64","udp","Communications Integrator (CI)","false"
"tacacs-ds","65","tcp","TACACS-Database Service","false"
"tacacs-ds","65","udp","TACACS-Database Service","false"
"sql-net","66","tcp","""Oracle SQL*NET","false"
"sql*net","66","tcp","Oracle SQL*NET","false"
"sql-net","66","udp","""Oracle SQL*NET","false"
"sql*net","66","udp","Oracle SQL*NET","false"
"bootps","67","tcp","Bootstrap Protocol Server","false"
"bootps","67","udp","Bootstrap Protocol Server","false"
"bootpc","68","tcp","Bootstrap Protocol Client","false"
"bootpc","68","udp","Bootstrap Protocol Client","false"
"tftp","69","tcp","Trivial File Transfer","false"
"tftp","69","udp","Trivial File Transfer","false"
"gopher","70","tcp","Gopher","false"
"gopher","70","udp","Gopher","false"
"netrjs-1","71","tcp","Remote Job Service","false"
"netrjs-1","71","udp","Remote Job Service","false"
"netrjs-2","72","tcp","Remote Job Service","false"
"netrjs-2","72","udp","Remote Job Service","false"
"netrjs-3","73","tcp","Remote Job Service","false"
"netrjs-3","73","udp","Remote Job Service","false"
"netrjs-4","74","tcp","Remote Job Service","false"
"netrjs-4","74","udp","Remote Job Service","false"
"","75","tcp","any private dial out service","false"
"","75","udp","any private dial out service","false"
"deos","76","tcp","Distributed External Object Store","false"
"deos","76","udp","Distributed External Object Store","false"
"","77","tcp","any private RJE service","false"
"","77","udp","any private RJE service","false"
"vettcp","78","tcp","vettcp","false"
"vettcp","78","udp","vettcp","false"
"finger","79","tcp","Finger","false"
"finger","79","udp","Finger","false"
"http","80","tcp","World Wide Web HTTP","false"
"http","80","udp","World Wide Web HTTP","false"
"www","80","tcp","World Wide Web HTTP","false"
"www","80","udp","World Wide Web HTTP","false"
"www-http","80","tcp","World Wide Web HTTP","false"
"www-http","80","udp","World Wide Web HTTP","false"
"http","80","sctp","HTTP","false"
"","81","","Unassigned","false"
"xfer","82","tcp","XFER Utility","false"
"xfer","82","udp","XFER Utility","false"
"mit-ml-dev","83","tcp","MIT ML Device","false"
"mit-ml-dev","83","udp","MIT ML Device","false"
"ctf","84","tcp","Common Trace Facility","false"
"ctf","84","udp","Common Trace Facility","false"
"mit-ml-dev","85","tcp","MIT ML Device","false"
"mit-ml-dev","85","udp","MIT ML Device","false"
"mfcobol","86","tcp","Micro Focus Cobol","false"
"mfcobol","86","udp","Micro Focus Cobol","false"
"","87","tcp","any private terminal link","false"
"","87","udp","any private terminal link","false"
"kerberos","88","tcp","Kerberos","false"
"kerberos","88","udp","Kerberos","false"
"su-mit-tg","89","tcp","SU/MIT Telnet Gateway","false"
"su-mit-tg","89","udp","SU/MIT Telnet Gateway","false"
"dnsix","90","tcp","DNSIX Securit Attribute Token Map","false"
"dnsix","90","udp","DNSIX Securit Attribute Token Map","false"
"mit-dov","91","tcp","MIT Dover Spooler","false"
"mit-dov","91","udp","MIT Dover Spooler","false"
"npp","92","tcp","Network Printing Protocol","false"
"npp","92","udp","Network Printing Protocol","false"
"dcp","93","tcp","Device Control Protocol","false"
"dcp","93","udp","Device Control Protocol","false"
"objcall","94","tcp","Tivoli Object Dispatcher","false"
"objcall","94","udp","Tivoli Object Dispatcher","false"
"supdup","95","tcp","SUPDUP","false"
"supdup","95","udp","SUPDUP","false"
"dixie","96","tcp","DIXIE Protocol Specification","false"
"dixie","96","udp","DIXIE Protocol Specification","false"
"swift-rvf","97","tcp","Swift Remote Virtural File Protocol","false"
"swift-rvf","97","udp","Swift Remote Virtural File Protocol","false"
"tacnews","98","tcp","TAC News","false"
"tacnews","98","udp","TAC News","false"
"metagram","99","tcp","Metagram Relay","false"
"metagram","99","udp","Metagram Relay","false"
"","100","","Unassigned","false"
"hostname","101","tcp","NIC Host Name Server","false"
"hostname","101","udp","NIC Host Name Server","false"
"iso-tsap","102","tcp","ISO-TSAP Class 0","false"
"iso-tsap","102","udp","ISO-TSAP Class 0","false"
"gppitnp","103","tcp","Genesis Point-to-Point Trans Net","false"
"gppitnp","103","udp","Genesis Point-to-Point Trans Net","false"
"acr-nema","104","tcp","ACR-NEMA Digital Imag. & Comm. 300","false"
"acr-nema","104","udp","ACR-NEMA Digital Imag. & Comm. 300","false"
"cso","105","tcp","CCSO name server protocol","false"
"cso","105","udp","CCSO name server protocol","false"
"csnet-ns","105","tcp","Mailbox Name Nameserver","false"
"csnet-ns","105","udp","Mailbox Name Nameserver","false"
"3com-tsmux","106","tcp","3COM-TSMUX","false"
"3com-tsmux","106","udp","3COM-TSMUX","false"
"rtelnet","107","tcp","Remote Telnet Service","false"
"rtelnet","107","udp","Remote Telnet Service","false"
"snagas","108","tcp","SNA Gateway Access Server","false"
"snagas","108","udp","SNA Gateway Access Server","false"
"pop2","109","tcp","Post Office Protocol - Version 2","false"
"pop2","109","udp","Post Office Protocol - Version 2","false"
"pop3","110","tcp","Post Office Protocol - Version 3","false"
"pop3","110","udp","Post Office Protocol - Version 3","false"
"sunrpc","111","tcp","SUN Remote Procedure Call","false"
"sunrpc","111","udp","SUN Remote Procedure Call","false"
"mcidas","112","tcp","McIDAS Data Transmission Protocol","false"
"mcidas","112","udp","McIDAS Data Transmission Protocol","false"
"ident","113","tcp","","false"
"auth","113","tcp","Authentication Service","false"
"auth","113","udp","Authentication Service","false"
"","114","","unassigned","false"
"sftp","115","tcp","Simple File Transfer Protocol","false"
"sftp","115","udp","Simple File Transfer Protocol","false"
"ansanotify","116","tcp","ANSA REX Notify","false"
"ansanotify","116","udp","ANSA REX Notify","false"
"uucp-path","117","tcp","UUCP Path Service","false"
"uucp-path","117","udp","UUCP Path Service","false"
"sqlserv","118","tcp","SQL Services","false"
"sqlserv","118","udp","SQL Services","false"
"nntp","119","tcp","Network News Transfer Protocol","false"
"nntp","119","udp","Network News Transfer Protocol","false"
"cfdptkt","120","tcp","CFDPTKT","false"
"cfdptkt","120","udp","CFDPTKT","false"
"erpc","121","tcp","Encore Expedited Remote Pro.Call","false"
"erpc","121","udp","Encore Expedited Remote Pro.Call","false"
"smakynet","122","tcp","SMAKYNET","false"
"smakynet","122","udp","SMAKYNET","false"
"ntp","123","tcp","Network Time Protocol","false"
"ntp","123","udp","Network Time Protocol","false"
"ansatrader","124","tcp","ANSA REX Trader","false"
"ansatrader","124","udp","ANSA REX Trader","false"
"locus-map","125","tcp","Locus PC-Interface Net Map Ser","false"
"locus-map","125","udp","Locus PC-Interface Net Map Ser","false"
"nxedit","126","tcp","NXEdit","false"
"nxedit","126","udp","NXEdit","false"
"locus-con","127","tcp","Locus PC-Interface Conn Server","false"
"locus-con","127","udp","Locus PC-Interface Conn Server","false"
"gss-xlicen","128","tcp","GSS X License Verification","false"
"gss-xlicen","128","udp","GSS X License Verification","false"
"pwdgen","129","tcp","Password Generator Protocol","false"
"pwdgen","129","udp","Password Generator Protocol","false"
"cisco-fna","130","tcp","cisco FNATIVE","false"
"cisco-fna","130","udp","cisco FNATIVE","false"
"cisco-tna","131","tcp","cisco TNATIVE","false"
"cisco-tna","131","udp","cisco TNATIVE","false"
"cisco-sys","132","tcp","cisco SYSMAINT","false"
"cisco-sys","132","udp","cisco SYSMAINT","false"
"statsrv","133","tcp","Statistics Service","false"
"statsrv","133","udp","Statistics Service","false"
"ingres-net","134","tcp","INGRES-NET Service","false"
"ingres-net","134","udp","INGRES-NET Service","false"
"epmap","135","tcp","DCE endpoint resolution","false"
"epmap","135","udp","DCE endpoint resolution","false"
"profile","136","tcp","PROFILE Naming System","false"
"profile","136","udp","PROFILE Naming System","false"
"netbios-ns","137","tcp","NETBIOS Name Service","false"
"netbios-ns","137","udp","NETBIOS Name Service","false"
"netbios-dgm","138","tcp","NETBIOS Datagram Service","false"
"netbios-dgm","138","udp","NETBIOS Datagram Service","false"
"netbios-ssn","139","tcp","NETBIOS Session Service","false"
"netbios-ssn","139","udp","NETBIOS Session Service","false"
"emfis-data","140","tcp","EMFIS Data Service","false"
"emfis-data","140","udp","EMFIS Data Service","false"
"emfis-cntl","141","tcp","EMFIS Control Service","false"
"emfis-cntl","141","udp","EMFIS Control Service","false"
"bl-idm","142","tcp","Britton-Lee IDM","false"
"bl-idm","142","udp","Britton-Lee IDM","false"
"imap","143","tcp","Internet Message Access Protocol","false"
"","143","udp","Reserved","false"
"uma","144","tcp","Universal Management Architecture","false"
"uma","144","udp","Universal Management Architecture","false"
"uaac","145","tcp","UAAC Protocol","false"
"uaac","145","udp","UAAC Protocol","false"
"iso-tp0","146","tcp","ISO-IP0","false"
"iso-tp0","146","udp","ISO-IP0","false"
"iso-ip","147","tcp","ISO-IP","false"
"iso-ip","147","udp","ISO-IP","false"
"jargon","148","tcp","Jargon","false"
"jargon","148","udp","Jargon","false"
"aed-512","149","tcp","AED 512 Emulation Service","false"
"aed-512","149","udp","AED 512 Emulation Service","false"
"sql-net","150","tcp","SQL-NET","false"
"sql-net","150","udp","SQL-NET","false"
"hems","151","tcp","HEMS","false"
"hems","151","udp","HEMS","false"
"bftp","152","tcp","Background File Transfer Program","false"
"bftp","152","udp","Background File Transfer Program","false"
"sgmp","153","tcp","SGMP","false"
"sgmp","153","udp","SGMP","false"
"netsc-prod","154","tcp","NETSC","false"
"netsc-prod","154","udp","NETSC","false"
"netsc-dev","155","tcp","NETSC","false"
"netsc-dev","155","udp","NETSC","false"
"sqlsrv","156","tcp","SQL Service","false"
"sqlsrv","156","udp","SQL Service","false"
"knet-cmp","157","tcp","KNET/VM Command/Message Protocol","false"
"knet-cmp","157","udp","KNET/VM Command/Message Protocol","false"
"pcmail-srv","158","tcp","PCMail Server","false"
"pcmail-srv","158","udp","PCMail Server","false"
"nss-routing","159","tcp","NSS-Routing","false"
"nss-routing","159","udp","NSS-Routing","false"
"sgmp-traps","160","tcp","SGMP-TRAPS","false"
"sgmp-traps","160","udp","SGMP-TRAPS","false"
"snmp","161","tcp","SNMP","false"
"snmp","161","udp","SNMP","false"
"snmptrap","162","tcp","SNMPTRAP","false"
"snmptrap","162","udp","SNMPTRAP","false"
"cmip-man","163","tcp","CMIP/TCP Manager","false"
"cmip-man","163","udp","CMIP/TCP Manager","false"
"cmip-agent","164","tcp","CMIP/TCP Agent","false"
"cmip-agent","164","udp","CMIP/TCP Agent","false"
"xns-courier","165","tcp","Xerox","false"
"xns-courier","165","udp","Xerox","false"
"s-net","166","tcp","Sirius Systems","false"
"s-net","166","udp","Sirius Systems","false"
"namp","167","tcp","NAMP","false"
"namp","167","udp","NAMP","false"
"rsvd","168","tcp","RSVD","false"
"rsvd","168","udp","RSVD","false"
"send","169","tcp","SEND","false"
"send","169","udp","SEND","false"
"print-srv","170","tcp","Network PostScript","false"
"print-srv","170","udp","Network PostScript","false"
"multiplex","171","tcp","Network Innovations Multiplex","false"
"multiplex","171","udp","Network Innovations Multiplex","false"
"cl-1","172","tcp","""Network Innovations CL/1","false"
"cl/1","172","tcp","Network Innovations CL/1","false"
"cl-1","172","udp","""Network Innovations CL/1","false"
"cl/1","172","udp","Network Innovations CL/1","false"
"xyplex-mux","173","tcp","Xyplex","false"
"xyplex-mux","173","udp","Xyplex","false"
"mailq","174","tcp","MAILQ","false"
"mailq","174","udp","MAILQ","false"
"vmnet","175","tcp","VMNET","false"
"vmnet","175","udp","VMNET","false"
"genrad-mux","176","tcp","GENRAD-MUX","false"
"genrad-mux","176","udp","GENRAD-MUX","false"
"xdmcp","177","tcp","X Display Manager Control Protocol","false"
"xdmcp","177","udp","X Display Manager Control Protocol","false"
"nextstep","178","tcp","NextStep Window Server","false"
"nextstep","178","udp","NextStep Window Server","false"
"bgp","179","tcp","Border Gateway Protocol","false"
"bgp","179","udp","Border Gateway Protocol","false"
"bgp","179","sctp","BGP","false"
"ris","180","tcp","Intergraph","false"
"ris","180","udp","Intergraph","false"
"unify","181","tcp","Unify","false"
"unify","181","udp","Unify","false"
"audit","182","tcp","Unisys Audit SITP","false"
"audit","182","udp","Unisys Audit SITP","false"
"ocbinder","183","tcp","OCBinder","false"
"ocbinder","183","udp","OCBinder","false"
"ocserver","184","tcp","OCServer","false"
"ocserver","184","udp","OCServer","false"
"remote-kis","185","tcp","Remote-KIS","false"
"remote-kis","185","udp","Remote-KIS","false"
"kis","186","tcp","KIS Protocol","false"
"kis","186","udp","KIS Protocol","false"
"aci","187","tcp","Application Communication Interface","false"
"aci","187","udp","Application Communication Interface","false"
"mumps","188","tcp","Plus Five's MUMPS","false"
"mumps","188","udp","Plus Five's MUMPS","false"
"qft","189","tcp","Queued File Transport","false"
"qft","189","udp","Queued File Transport","false"
"gacp","190","tcp","Gateway Access Control Protocol","false"
"gacp","190","udp","Gateway Access Control Protocol","false"
"prospero","191","tcp","Prospero Directory Service","false"
"prospero","191","udp","Prospero Directory Service","false"
"osu-nms","192","tcp","OSU Network Monitoring System","false"
"osu-nms","192","udp","OSU Network Monitoring System","false"
"srmp","193","tcp","Spider Remote Monitoring Protocol","false"
"srmp","193","udp","Spider Remote Monitoring Protocol","false"
"irc","194","tcp","Internet Relay Chat Protocol","false"
"irc","194","udp","Internet Relay Chat Protocol","false"
"dn6-nlm-aud","195","tcp","DNSIX Network Level Module Audit","false"
"dn6-nlm-aud","195","udp","DNSIX Network Level Module Audit","false"
"dn6-smm-red","196","tcp","DNSIX Session Mgt Module Audit Redir","false"
"dn6-smm-red","196","udp","DNSIX Session Mgt Module Audit Redir","false"
"dls","197","tcp","Directory Location Service","false"
"dls","197","udp","Directory Location Service","false"
"dls-mon","198","tcp","Directory Location Service Monitor","false"
"dls-mon","198","udp","Directory Location Service Monitor","false"
"smux","199","tcp","SMUX","false"
"smux","199","udp","SMUX","false"
"src","200","tcp","IBM System Resource Controller","false"
"src","200","udp","IBM System Resource Controller","false"
"at-rtmp","201","tcp","AppleTalk Routing Maintenance","false"
"at-rtmp","201","udp","AppleTalk Routing Maintenance","false"
"at-nbp","202","tcp","AppleTalk Name Binding","false"
"at-nbp","202","udp","AppleTalk Name Binding","false"
"at-3","203","tcp","AppleTalk Unused","false"
"at-3","203","udp","AppleTalk Unused","false"
"at-echo","204","tcp","AppleTalk Echo","false"
"at-echo","204","udp","AppleTalk Echo","false"
"at-5","205","tcp","AppleTalk Unused","false"
"at-5","205","udp","AppleTalk Unused","false"
"at-zis","206","tcp","AppleTalk Zone Information","false"
"at-zis","206","udp","AppleTalk Zone Information","false"
"at-7","207","tcp","AppleTalk Unused","false"
"at-7","207","udp","AppleTalk Unused","false"
"at-8","208","tcp","AppleTalk Unused","false"
"at-8","208","udp","AppleTalk Unused","false"
"qmtp","209","tcp","The Quick Mail Transfer Protocol","false"
"qmtp","209","udp","The Quick Mail Transfer Protocol","false"
"z39-50","210","tcp","""ANSI Z39.50","false"
"z39.50","210","tcp","ANSI Z39.50","false"
"z39-50","210","udp","""ANSI Z39.50","false"
"z39.50","210","udp","ANSI Z39.50","false"
"914c-g","211","tcp","""Texas Instruments 914C/G Terminal","false"
"914c/g","211","tcp","Texas Instruments 914C/G Terminal","false"
"914c-g","211","udp","""Texas Instruments 914C/G Terminal","false"
"914c/g","211","udp","Texas Instruments 914C/G Terminal","false"
"anet","212","tcp","ATEXSSTR","false"
"anet","212","udp","ATEXSSTR","false"
"ipx","213","tcp","IPX","false"
"ipx","213","udp","IPX","false"
"vmpwscs","214","tcp","VM PWSCS","false"
"vmpwscs","214","udp","VM PWSCS","false"
"softpc","215","tcp","Insignia Solutions","false"
"softpc","215","udp","Insignia Solutions","false"
"CAIlic","216","tcp","Computer Associates Int'l License Server","false"
"CAIlic","216","udp","Computer Associates Int'l License Server","false"
"dbase","217","tcp","dBASE Unix","false"
"dbase","217","udp","dBASE Unix","false"
"mpp","218","tcp","Netix Message Posting Protocol","false"
"mpp","218","udp","Netix Message Posting Protocol","false"
"uarps","219","tcp","Unisys ARPs","false"
"uarps","219","udp","Unisys ARPs","false"
"imap3","220","tcp","Interactive Mail Access Protocol v3","false"
"imap3","220","udp","Interactive Mail Access Protocol v3","false"
"fln-spx","221","tcp","Berkeley rlogind with SPX auth","false"
"fln-spx","221","udp","Berkeley rlogind with SPX auth","false"
"rsh-spx","222","tcp","Berkeley rshd with SPX auth","false"
"rsh-spx","222","udp","Berkeley rshd with SPX auth","false"
"cdc","223","tcp","Certificate Distribution Center","false"
"cdc","223","udp","Certificate Distribution Center","false"
"masqdialer","224","tcp","masqdialer","false"
"masqdialer","224","udp","masqdialer","false"
"direct","242","tcp","Direct","false"
"direct","242","udp","Direct","false"
"sur-meas","243","tcp","Survey Measurement","false"
"sur-meas","243","udp","Survey Measurement","false"
"inbusiness","244","tcp","inbusiness","false"
"inbusiness","244","udp","inbusiness","false"
"link","245","tcp","LINK","false"
"link","245","udp","LINK","false"
"dsp3270","246","tcp","Display Systems Protocol","false"
"dsp3270","246","udp","Display Systems Protocol","false"
"subntbcst-tftp","247","tcp","""SUBNTBCST_TFTP","false"
"subntbcst_tftp","247","tcp","SUBNTBCST_TFTP","false"
"subntbcst-tftp","247","udp","""SUBNTBCST_TFTP","false"
"subntbcst_tftp","247","udp","SUBNTBCST_TFTP","false"
"bhfhs","248","tcp","bhfhs","false"
"bhfhs","248","udp","bhfhs","false"
"rap","256","tcp","RAP","false"
"rap","256","udp","RAP","false"
"set","257","tcp","Secure Electronic Transaction","false"
"set","257","udp","Secure Electronic Transaction","false"
"","258","","Unassigned","false"
"esro-gen","259","tcp","Efficient Short Remote Operations","false"
"esro-gen","259","udp","Efficient Short Remote Operations","false"
"openport","260","tcp","Openport","false"
"openport","260","udp","Openport","false"
"nsiiops","261","tcp","IIOP Name Service over TLS/SSL","false"
"nsiiops","261","udp","IIOP Name Service over TLS/SSL","false"
"arcisdms","262","tcp","Arcisdms","false"
"arcisdms","262","udp","Arcisdms","false"
"hdap","263","tcp","HDAP","false"
"hdap","263","udp","HDAP","false"
"bgmp","264","tcp","BGMP","false"
"bgmp","264","udp","BGMP","false"
"x-bone-ctl","265","tcp","X-Bone CTL","false"
"x-bone-ctl","265","udp","X-Bone CTL","false"
"sst","266","tcp","SCSI on ST","false"
"sst","266","udp","SCSI on ST","false"
"td-service","267","tcp","Tobit David Service Layer","false"
"td-service","267","udp","Tobit David Service Layer","false"
"td-replica","268","tcp","Tobit David Replica","false"
"td-replica","268","udp","Tobit David Replica","false"
"manet","269","tcp","MANET Protocols","false"
"manet","269","udp","MANET Protocols","false"
"","270","tcp","Reserved","false"
"gist","270","udp","Q-mode encapsulation for GIST messages","false"
"pt-tls","271","tcp","IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)","false"
"","271","udp","Reserved","false"
"http-mgmt","280","tcp","http-mgmt","false"
"http-mgmt","280","udp","http-mgmt","false"
"personal-link","281","tcp","Personal Link","false"
"personal-link","281","udp","Personal Link","false"
"cableport-ax","282","tcp","Cable Port A/X","false"
"cableport-ax","282","udp","Cable Port A/X","false"
"rescap","283","tcp","rescap","false"
"rescap","283","udp","rescap","false"
"corerjd","284","tcp","corerjd","false"
"corerjd","284","udp","corerjd","false"
"","285","","Unassigned","false"
"fxp","286","tcp","FXP Communication","false"
"fxp","286","udp","FXP Communication","false"
"k-block","287","tcp","K-BLOCK","false"
"k-block","287","udp","K-BLOCK","false"
"tacacss","300","tcp","TLS Secure Login Host Protocol (TACACSS)","false"
"","300","udp","Reserved","false"
"novastorbakcup","308","tcp","Novastor Backup","false"
"novastorbakcup","308","udp","Novastor Backup","false"
"entrusttime","309","tcp","EntrustTime","false"
"entrusttime","309","udp","EntrustTime","false"
"bhmds","310","tcp","bhmds","false"
"bhmds","310","udp","bhmds","false"
"asip-webadmin","311","tcp","AppleShare IP WebAdmin","false"
"asip-webadmin","311","udp","AppleShare IP WebAdmin","false"
"vslmp","312","tcp","VSLMP","false"
"vslmp","312","udp","VSLMP","false"
"magenta-logic","313","tcp","Magenta Logic","false"
"magenta-logic","313","udp","Magenta Logic","false"
"opalis-robot","314","tcp","Opalis Robot","false"
"opalis-robot","314","udp","Opalis Robot","false"
"dpsi","315","tcp","DPSI","false"
"dpsi","315","udp","DPSI","false"
"decauth","316","tcp","decAuth","false"
"decauth","316","udp","decAuth","false"
"zannet","317","tcp","Zannet","false"
"zannet","317","udp","Zannet","false"
"pkix-timestamp","318","tcp","PKIX TimeStamp","false"
"pkix-timestamp","318","udp","PKIX TimeStamp","false"
"ptp-event","319","tcp","PTP Event","false"
"ptp-event","319","udp","PTP Event","false"
"ptp-general","320","tcp","PTP General","false"
"ptp-general","320","udp","PTP General","false"
"pip","321","tcp","PIP","false"
"pip","321","udp","PIP","false"
"rtsps","322","tcp","RTSPS","false"
"rtsps","322","udp","RTSPS","false"
"rpki-rtr","323","tcp","Resource PKI to Router Protocol","false"
"","323","udp","Reserved","false"
"rpki-rtr-tls","324","tcp","Resource PKI to Router Protocol over TLS","false"
"","324","udp","Reserved","false"
"texar","333","tcp","Texar Security Port","false"
"texar","333","udp","Texar Security Port","false"
"pdap","344","tcp","Prospero Data Access Protocol","false"
"pdap","344","udp","Prospero Data Access Protocol","false"
"pawserv","345","tcp","Perf Analysis Workbench","false"
"pawserv","345","udp","Perf Analysis Workbench","false"
"zserv","346","tcp","Zebra server","false"
"zserv","346","udp","Zebra server","false"
"fatserv","347","tcp","Fatmen Server","false"
"fatserv","347","udp","Fatmen Server","false"
"csi-sgwp","348","tcp","Cabletron Management Protocol","false"
"csi-sgwp","348","udp","Cabletron Management Protocol","false"
"mftp","349","tcp","mftp","false"
"mftp","349","udp","mftp","false"
"matip-type-a","350","tcp","MATIP Type A","false"
"matip-type-a","350","udp","MATIP Type A","false"
"matip-type-b","351","tcp","MATIP Type B","false"
"matip-type-b","351","udp","MATIP Type B","false"
"bhoetty","351","tcp","bhoetty","false"
"bhoetty","351","udp","bhoetty","false"
"dtag-ste-sb","352","tcp","DTAG","false"
"dtag-ste-sb","352","udp","DTAG","false"
"bhoedap4","352","tcp","bhoedap4","false"
"bhoedap4","352","udp","bhoedap4","false"
"ndsauth","353","tcp","NDSAUTH","false"
"ndsauth","353","udp","NDSAUTH","false"
"bh611","354","tcp","bh611","false"
"bh611","354","udp","bh611","false"
"datex-asn","355","tcp","DATEX-ASN","false"
"datex-asn","355","udp","DATEX-ASN","false"
"cloanto-net-1","356","tcp","Cloanto Net 1","false"
